Order_ID,Order_Date,Delivery_Date,Product,Category,Supplier,Warehouse,City,Customer_Type,Order_Quantity,Unit_Price,Total_Cost,Shipping_Cost,Delivery_Status,Payment_Method
100014,2025-07-11,2025-07-16,Desktop,Electronics,Prime Distributors,Hyderabad WH,Bangalore,Retail,1,45000,45000,608,Delivered,Credit Card
100015,2025-08-02,2025-08-09,SSD,Storage,Prime Distributors,Chennai WH,Bangalore,Retail,13,5500,71500,2077,Cancelled,Cash
100016,2025-11-25,2025-11-28,SSD,Storage,XYZ Traders,Hyderabad WH,Mumbai,Wholesale,5,5500,27500,2144,Delayed,Cash
100017,2025-07-08,2025-07-10,Webcam,Accessories,Prime Distributors,Chennai WH,Chennai,Retail,19,2500,47500,387,In Transit,Cash
100018,2025-02-10,2025-02-14,Mouse,Accessories,Global Supply,Hyderabad WH,Kolkata,Retail,13,700,9100,2645,Delivered,Debit Card
100019,2025-02-27,2025-03-03,SSD,Storage,ABC Suppliers,Bangalore WH,Delhi,Retail,3,5500,16500,1839,Delivered,Credit Card
100020,2025-04-08,2025-04-10,Printer,Office Supplies,Tech World,Hyderabad WH,Pune,Retail,12,15000,180000,221,Delivered,Credit Card
100021,2025-01-17,2025-01-20,Switch,Networking,ABC Suppliers,Chennai WH,Mumbai,Wholesale,6,6000,36000,715,Delivered,UPI
100022,2025-07-15,2025-07-21,Desktop,Electronics,Prime Distributors,Bangalore WH,Delhi,Wholesale,20,45000,900000,1057,Delivered,UPI
100023,2025-05-16,2025-05-18,Router,Networking,Global Supply,Chennai WH,Lucknow,Wholesale,3,3500,10500,2627,In Transit,Cash
100024,2025-07-24,2025-07-26,Office Desk,Furniture,Global Supply,Hyderabad WH,Mumbai,Wholesale,17,15000,255000,2752,Delivered,Debit Card
100025,2025-04-25,2025-05-01,Router,Networking,XYZ Traders,Delhi WH,Ahmedabad,Wholesale,13,3500,45500,1455,Delivered,Net Banking
100026,2025-08-10,2025-08-13,Scanner,Office Supplies,Global Supply,Hyderabad WH,Mumbai,Retail,12,12000,144000,224,Delivered,Cash
100027,2025-10-16,2025-10-23,Switch,Networking,Prime Distributors,Hyderabad WH,Hyderabad,Retail,5,6000,30000,1534,Delivered,Cash
100028,2025-03-05,2025-03-11,Desktop,Electronics,Tech World,Mumbai WH,Ahmedabad,Wholesale,5,45000,225000,440,Delivered,Debit Card
100029,2025-03-14,2025-03-19,Switch,Networking,Prime Distributors,Mumbai WH,Mumbai,Retail,4,6000,24000,1447,In Transit,Cash
100030,2025-05-31,2025-06-07,Office Desk,Furniture,ABC Suppliers,Hyderabad WH,Lucknow,Wholesale,5,15000,75000,1821,Delivered,Credit Card
100031,2025-04-17,2025-04-19,Desktop,Electronics,Prime Distributors,Bangalore WH,Lucknow,Wholesale,14,45000,630000,2774,In Transit,Credit Card
100032,2025-09-30,2025-10-02,Switch,Networking,Global Supply,Hyderabad WH,Pune,Retail,3,6000,18000,806,Delivered,Debit Card
100033,2025-04-02,2025-04-08,Monitor,Electronics,Global Supply,Delhi WH,Hyderabad,Wholesale,14,12000,168000,397,In Transit,UPI
100034,2025-08-27,2025-08-31,Mouse,Accessories,Tech World,Delhi WH,Bangalore,Retail,3,700,2100,301,Delivered,Net Banking
100035,2025-09-13,2025-09-14,Projector,Electronics,Prime Distributors,Delhi WH,Chennai,Wholesale,15,40000,600000,1552,Delayed,UPI
100036,2025-07-12,2025-07-19,Router,Networking,Prime Distributors,Delhi WH,Chennai,Retail,5,3500,17500,2648,In Transit,Net Banking
100037,2025-08-01,2025-08-06,Mouse,Accessories,ABC Suppliers,Delhi WH,Delhi,Retail,19,700,13300,855,Delayed,Cash
100038,2025-06-04,2025-06-11,Laptop,Electronics,Prime Distributors,Mumbai WH,Pune,Wholesale,13,55000,715000,1736,Delivered,Credit Card
100039,2025-02-02,2025-02-07,Webcam,Accessories,Tech World,Delhi WH,Mumbai,Retail,9,2500,22500,2965,Delivered,Net Banking
100040,2025-10-06,2025-10-13,Printer,Office Supplies,Prime Distributors,Mumbai WH,Lucknow,Retail,8,15000,120000,2440,Delivered,Debit Card
100041,2025-11-06,2025-11-07,Scanner,Office Supplies,ABC Suppliers,Delhi WH,Mumbai,Wholesale,20,12000,240000,1381,Delivered,Net Banking
100042,2025-05-14,2025-05-16,Office Desk,Furniture,ABC Suppliers,Mumbai WH,Ahmedabad,Wholesale,10,15000,150000,357,Delayed,Net Banking
100043,2025-07-18,2025-07-21,Router,Networking,Global Supply,Chennai WH,Delhi,Wholesale,8,3500,28000,790,Delivered,Debit Card
100044,2025-08-22,2025-08-26,Printer,Office Supplies,Global Supply,Bangalore WH,Lucknow,Wholesale,20,15000,300000,986,Delivered,Credit Card
100045,2025-09-27,2025-09-28,Hard Disk,Storage,ABC Suppliers,Chennai WH,Mumbai,Wholesale,11,4200,46200,758,Delivered,Net Banking
100046,2025-09-11,2025-09-15,Scanner,Office Supplies,XYZ Traders,Bangalore WH,Kolkata,Retail,6,12000,72000,1790,Delivered,Net Banking
100047,2025-08-18,2025-08-23,Mouse,Accessories,Global Supply,Hyderabad WH,Bangalore,Retail,11,700,7700,2639,Delayed,Net Banking
100048,2025-12-15,2025-12-20,Office Chair,Furniture,Tech World,Mumbai WH,Hyderabad,Retail,17,8500,144500,2864,In Transit,Debit Card
100049,2025-02-24,2025-02-25,Laptop,Electronics,Global Supply,Bangalore WH,Chennai,Retail,3,55000,165000,1087,Delivered,Cash
100050,2025-12-02,2025-12-03,SSD,Storage,XYZ Traders,Mumbai WH,Lucknow,Retail,15,5500,82500,471,Delivered,Debit Card
100051,2025-06-17,2025-06-21,Scanner,Office Supplies,Tech World,Hyderabad WH,Jaipur,Wholesale,7,12000,84000,2434,Delivered,Credit Card
100052,2025-07-04,2025-07-08,Mouse,Accessories,Tech World,Hyderabad WH,Pune,Wholesale,20,700,14000,1011,Delivered,Net Banking
100053,2025-06-12,2025-06-18,Monitor,Electronics,Tech World,Chennai WH,Chennai,Wholesale,3,12000,36000,1892,Delivered,Cash
100054,2025-04-08,2025-04-09,Scanner,Office Supplies,XYZ Traders,Mumbai WH,Lucknow,Retail,17,12000,204000,1650,Delivered,Net Banking
100055,2025-04-09,2025-04-14,Mouse,Accessories,XYZ Traders,Mumbai WH,Jaipur,Retail,19,700,13300,1904,Delivered,Net Banking
100056,2025-09-24,2025-10-01,Office Chair,Furniture,Prime Distributors,Hyderabad WH,Ahmedabad,Retail,8,8500,68000,539,Delivered,Cash
100057,2025-02-02,2025-02-05,Office Chair,Furniture,Prime Distributors,Hyderabad WH,Delhi,Wholesale,16,8500,136000,2019,In Transit,Net Banking
100058,2025-04-12,2025-04-19,Printer,Office Supplies,ABC Suppliers,Delhi WH,Mumbai,Wholesale,7,15000,105000,1798,Delivered,Cash
100059,2025-08-08,2025-08-10,Webcam,Accessories,ABC Suppliers,Bangalore WH,Kolkata,Wholesale,8,2500,20000,1357,Cancelled,Debit Card
100060,2025-03-06,2025-03-11,Hard Disk,Storage,XYZ Traders,Hyderabad WH,Jaipur,Retail,11,4200,46200,1114,Delivered,Debit Card
100061,2025-05-30,2025-06-03,Printer,Office Supplies,ABC Suppliers,Bangalore WH,Delhi,Retail,6,15000,90000,816,Delivered,Cash
100062,2025-09-18,2025-09-19,Monitor,Electronics,Global Supply,Delhi WH,Chennai,Retail,2,12000,24000,1823,Delivered,UPI
100063,2025-01-19,2025-01-23,Office Desk,Furniture,Tech World,Chennai WH,Ahmedabad,Wholesale,9,15000,135000,2447,Delayed,Net Banking
100064,2025-02-25,2025-02-28,Scanner,Office Supplies,Global Supply,Bangalore WH,Mumbai,Wholesale,11,12000,132000,653,Delivered,Cash
100065,2025-11-17,2025-11-20,Webcam,Accessories,XYZ Traders,Chennai WH,Bangalore,Retail,12,2500,30000,1010,Delayed,Net Banking
100066,2025-12-13,2025-12-17,Office Chair,Furniture,Global Supply,Mumbai WH,Jaipur,Retail,19,8500,161500,2352,In Transit,Credit Card
100067,2025-07-09,2025-07-12,Office Chair,Furniture,ABC Suppliers,Mumbai WH,Jaipur,Retail,12,8500,102000,1151,In Transit,Cash
100068,2025-02-02,2025-02-07,Desktop,Electronics,Prime Distributors,Chennai WH,Kolkata,Retail,1,45000,45000,625,Delivered,Cash
100069,2025-02-13,2025-02-20,Projector,Electronics,Prime Distributors,Delhi WH,Lucknow,Wholesale,14,40000,560000,2868,In Transit,Credit Card
100070,2025-12-05,2025-12-09,Switch,Networking,Prime Distributors,Delhi WH,Jaipur,Wholesale,3,6000,18000,309,In Transit,UPI
100071,2025-03-01,2025-03-02,Monitor,Electronics,XYZ Traders,Mumbai WH,Hyderabad,Wholesale,4,12000,48000,1717,Delayed,UPI
100072,2025-12-01,2025-12-02,Office Desk,Furniture,Tech World,Chennai WH,Jaipur,Retail,9,15000,135000,1991,Delivered,UPI
100073,2025-09-18,2025-09-22,SSD,Storage,Prime Distributors,Hyderabad WH,Kolkata,Wholesale,3,5500,16500,1233,Delivered,Credit Card
100074,2025-08-14,2025-08-19,Projector,Electronics,XYZ Traders,Bangalore WH,Chennai,Retail,11,40000,440000,684,Delivered,Credit Card
100075,2025-09-20,2025-09-25,Desktop,Electronics,Tech World,Bangalore WH,Mumbai,Wholesale,7,45000,315000,362,Delivered,Cash
100076,2025-05-13,2025-05-15,Office Desk,Furniture,Tech World,Delhi WH,Hyderabad,Wholesale,14,15000,210000,2456,Delivered,Cash
100077,2025-08-20,2025-08-26,Laptop,Electronics,XYZ Traders,Hyderabad WH,Kolkata,Retail,18,55000,990000,2811,Delivered,Debit Card
100078,2025-03-15,2025-03-20,Projector,Electronics,XYZ Traders,Mumbai WH,Kolkata,Wholesale,6,40000,240000,2968,Delivered,Credit Card
100079,2025-04-17,2025-04-24,Hard Disk,Storage,Prime Distributors,Bangalore WH,Mumbai,Wholesale,20,4200,84000,1406,Delivered,Debit Card
100080,2025-10-23,2025-10-29,Webcam,Accessories,Prime Distributors,Chennai WH,Hyderabad,Retail,5,2500,12500,1914,Delivered,Cash
100081,2025-08-01,2025-08-05,Printer,Office Supplies,XYZ Traders,Mumbai WH,Hyderabad,Wholesale,12,15000,180000,1609,In Transit,Debit Card
100082,2025-12-26,2025-12-27,Hard Disk,Storage,Tech World,Bangalore WH,Delhi,Wholesale,5,4200,21000,948,Delivered,Debit Card
100083,2025-07-27,2025-08-03,Switch,Networking,Prime Distributors,Delhi WH,Kolkata,Wholesale,5,6000,30000,1089,Delivered,UPI
100084,2025-01-20,2025-01-26,Router,Networking,ABC Suppliers,Hyderabad WH,Lucknow,Wholesale,17,3500,59500,2936,Cancelled,Net Banking
100085,2025-12-27,2026-01-01,Keyboard,Accessories,Tech World,Delhi WH,Kolkata,Wholesale,20,900,18000,2087,Delayed,Net Banking
100086,2025-02-14,2025-02-15,Projector,Electronics,Prime Distributors,Hyderabad WH,Hyderabad,Retail,19,40000,760000,2870,Delivered,UPI
100087,2025-05-23,2025-05-26,Office Chair,Furniture,Prime Distributors,Hyderabad WH,Lucknow,Wholesale,14,8500,119000,1712,Delivered,Debit Card
100088,2025-02-18,2025-02-24,Keyboard,Accessories,Tech World,Mumbai WH,Bangalore,Wholesale,20,900,18000,977,In Transit,UPI
100089,2025-12-18,2025-12-25,Printer,Office Supplies,Tech World,Delhi WH,Chennai,Wholesale,16,15000,240000,230,In Transit,UPI
100090,2025-08-27,2025-09-01,Laptop,Electronics,XYZ Traders,Chennai WH,Ahmedabad,Wholesale,12,55000,660000,2995,Delivered,Cash
100091,2025-03-17,2025-03-24,Projector,Electronics,Tech World,Bangalore WH,Kolkata,Retail,16,40000,640000,2495,Delivered,Cash
100092,2025-04-09,2025-04-14,Laptop,Electronics,Global Supply,Hyderabad WH,Ahmedabad,Wholesale,1,55000,55000,2884,In Transit,Cash
100093,2025-02-19,2025-02-25,Monitor,Electronics,Prime Distributors,Chennai WH,Lucknow,Wholesale,14,12000,168000,1650,Delivered,Credit Card
100094,2025-08-15,2025-08-16,Mouse,Accessories,ABC Suppliers,Bangalore WH,Jaipur,Retail,6,700,4200,1883,In Transit,Cash
100095,2025-11-23,2025-11-30,Office Chair,Furniture,XYZ Traders,Chennai WH,Ahmedabad,Wholesale,13,8500,110500,1328,Delivered,Cash
100096,2025-07-18,2025-07-24,Mouse,Accessories,Prime Distributors,Mumbai WH,Ahmedabad,Retail,1,700,700,2202,Delivered,Cash
100097,2025-02-11,2025-02-14,Desktop,Electronics,XYZ Traders,Hyderabad WH,Mumbai,Wholesale,13,45000,585000,2994,Delayed,Cash
100098,2025-08-27,2025-09-01,Desktop,Electronics,Tech World,Hyderabad WH,Ahmedabad,Wholesale,2,45000,90000,1129,Delivered,UPI
100099,2025-08-17,2025-08-21,Hard Disk,Storage,XYZ Traders,Mumbai WH,Chennai,Wholesale,15,4200,63000,1184,Delivered,Net Banking
100100,2025-08-16,2025-08-22,Keyboard,Accessories,ABC Suppliers,Hyderabad WH,Kolkata,Retail,3,900,2700,413,Delivered,Credit Card
100101,2025-05-19,2025-05-21,Hard Disk,Storage,Global Supply,Delhi WH,Mumbai,Wholesale,5,4200,21000,899,Delayed,Debit Card
100102,2025-12-08,2025-12-09,Hard Disk,Storage,ABC Suppliers,Chennai WH,Hyderabad,Retail,5,4200,21000,2276,Delayed,Net Banking
100103,2025-01-20,2025-01-22,Router,Networking,Tech World,Mumbai WH,Hyderabad,Retail,19,3500,66500,847,Delivered,Credit Card
100104,2025-12-21,2025-12-28,Desktop,Electronics,Prime Distributors,Mumbai WH,Lucknow,Wholesale,14,45000,630000,2645,In Transit,Cash
100105,2025-07-27,2025-07-28,Projector,Electronics,Tech World,Bangalore WH,Ahmedabad,Wholesale,16,40000,640000,1369,In Transit,UPI
100106,2025-04-02,2025-04-04,Desktop,Electronics,ABC Suppliers,Chennai WH,Jaipur,Wholesale,4,45000,180000,1503,In Transit,Cash
100107,2025-07-05,2025-07-09,Hard Disk,Storage,XYZ Traders,Bangalore WH,Mumbai,Wholesale,7,4200,29400,2223,Cancelled,Cash
100108,2025-11-19,2025-11-20,Webcam,Accessories,Prime Distributors,Delhi WH,Delhi,Retail,16,2500,40000,2389,Delayed,Credit Card
100109,2025-01-20,2025-01-23,Monitor,Electronics,Tech World,Mumbai WH,Hyderabad,Wholesale,18,12000,216000,366,In Transit,Debit Card
100110,2025-05-07,2025-05-08,Hard Disk,Storage,Tech World,Mumbai WH,Lucknow,Wholesale,17,4200,71400,2790,Delivered,Debit Card
100111,2025-01-30,2025-01-31,Monitor,Electronics,Prime Distributors,Bangalore WH,Chennai,Retail,5,12000,60000,756,Delayed,Credit Card
100112,2025-07-11,2025-07-14,Desktop,Electronics,Global Supply,Bangalore WH,Pune,Retail,4,45000,180000,343,Delayed,Net Banking
100113,2025-03-21,2025-03-26,Mouse,Accessories,Global Supply,Bangalore WH,Bangalore,Wholesale,11,700,7700,2053,Delivered,Debit Card
100114,2025-01-13,2025-01-14,Switch,Networking,ABC Suppliers,Bangalore WH,Hyderabad,Wholesale,9,6000,54000,2220,Delivered,Credit Card
100115,2025-02-18,2025-02-24,Switch,Networking,XYZ Traders,Chennai WH,Pune,Wholesale,4,6000,24000,832,Delivered,Credit Card
100116,2025-02-26,2025-03-02,Printer,Office Supplies,XYZ Traders,Delhi WH,Jaipur,Retail,7,15000,105000,418,Delivered,Debit Card
100117,2025-01-24,2025-01-26,Monitor,Electronics,Tech World,Delhi WH,Jaipur,Wholesale,12,12000,144000,2581,Delivered,Credit Card
100118,2025-03-02,2025-03-06,Office Desk,Furniture,ABC Suppliers,Chennai WH,Jaipur,Retail,17,15000,255000,821,Delivered,Debit Card
100119,2025-08-31,2025-09-01,Scanner,Office Supplies,Global Supply,Hyderabad WH,Kolkata,Wholesale,20,12000,240000,2754,Delivered,UPI
100120,2025-04-15,2025-04-20,Mouse,Accessories,Prime Distributors,Mumbai WH,Delhi,Wholesale,9,700,6300,2527,In Transit,Credit Card
100121,2025-11-26,2025-11-30,Laptop,Electronics,XYZ Traders,Mumbai WH,Mumbai,Wholesale,20,55000,1100000,2640,Delivered,UPI
100122,2025-08-22,2025-08-28,Mouse,Accessories,Global Supply,Hyderabad WH,Delhi,Retail,11,700,7700,1223,Delivered,Cash
100123,2025-06-24,2025-07-01,Laptop,Electronics,Tech World,Mumbai WH,Ahmedabad,Wholesale,8,55000,440000,1717,Delivered,Credit Card
100124,2025-05-27,2025-05-29,Desktop,Electronics,XYZ Traders,Chennai WH,Ahmedabad,Retail,4,45000,180000,844,In Transit,Net Banking
100125,2025-09-19,2025-09-21,Projector,Electronics,XYZ Traders,Mumbai WH,Bangalore,Retail,3,40000,120000,2525,Delayed,Cash
100126,2025-02-28,2025-03-06,Office Chair,Furniture,Prime Distributors,Mumbai WH,Pune,Wholesale,13,8500,110500,228,Delivered,Cash
100127,2025-03-11,2025-03-14,Office Desk,Furniture,Tech World,Delhi WH,Jaipur,Wholesale,18,15000,270000,2067,Delivered,Credit Card
100128,2025-05-29,2025-06-03,Office Desk,Furniture,Global Supply,Mumbai WH,Pune,Wholesale,18,15000,270000,2130,Delivered,UPI
100129,2025-06-02,2025-06-05,Keyboard,Accessories,XYZ Traders,Delhi WH,Hyderabad,Retail,3,900,2700,1473,Delivered,Debit Card
100130,2025-03-01,2025-03-04,Printer,Office Supplies,Prime Distributors,Mumbai WH,Jaipur,Wholesale,8,15000,120000,793,Delivered,Cash
100131,2025-05-21,2025-05-26,Router,Networking,Prime Distributors,Bangalore WH,Chennai,Retail,16,3500,56000,2620,Delivered,Credit Card
100132,2025-09-29,2025-10-04,Projector,Electronics,XYZ Traders,Delhi WH,Delhi,Retail,4,40000,160000,769,Delivered,Debit Card
100133,2025-03-30,2025-04-05,Office Chair,Furniture,XYZ Traders,Bangalore WH,Pune,Retail,14,8500,119000,1335,In Transit,Net Banking
100134,2025-09-29,2025-10-03,Webcam,Accessories,Tech World,Hyderabad WH,Mumbai,Retail,1,2500,2500,2105,Delivered,UPI
100135,2025-11-06,2025-11-11,SSD,Storage,Prime Distributors,Hyderabad WH,Ahmedabad,Retail,3,5500,16500,1539,Delivered,UPI
100136,2025-07-10,2025-07-16,Desktop,Electronics,Tech World,Delhi WH,Bangalore,Retail,5,45000,225000,846,Delivered,Cash
100137,2025-06-14,2025-06-17,Monitor,Electronics,ABC Suppliers,Delhi WH,Hyderabad,Retail,2,12000,24000,787,Delivered,Debit Card
100138,2025-02-14,2025-02-17,Keyboard,Accessories,Prime Distributors,Mumbai WH,Hyderabad,Wholesale,2,900,1800,2651,In Transit,Net Banking
100139,2025-08-15,2025-08-19,Switch,Networking,ABC Suppliers,Mumbai WH,Chennai,Wholesale,16,6000,96000,1898,Delivered,Credit Card
100140,2025-07-25,2025-07-29,Hard Disk,Storage,Global Supply,Bangalore WH,Mumbai,Retail,9,4200,37800,1370,Delivered,Cash
100141,2025-11-25,2025-11-30,Printer,Office Supplies,XYZ Traders,Delhi WH,Chennai,Wholesale,18,15000,270000,2677,Delivered,UPI
100142,2025-03-20,2025-03-22,Desktop,Electronics,XYZ Traders,Bangalore WH,Hyderabad,Wholesale,4,45000,180000,1156,In Transit,Net Banking
100143,2025-09-21,2025-09-24,Hard Disk,Storage,ABC Suppliers,Chennai WH,Hyderabad,Retail,16,4200,67200,2875,In Transit,Debit Card
100144,2025-02-03,2025-02-05,Hard Disk,Storage,Tech World,Mumbai WH,Jaipur,Wholesale,14,4200,58800,2437,Delayed,Net Banking
100145,2025-12-11,2025-12-16,Router,Networking,Global Supply,Hyderabad WH,Chennai,Wholesale,18,3500,63000,918,Delivered,Debit Card
100146,2025-02-17,2025-02-22,Monitor,Electronics,XYZ Traders,Delhi WH,Kolkata,Wholesale,20,12000,240000,216,Delivered,Credit Card
100147,2025-04-18,2025-04-23,Router,Networking,Tech World,Bangalore WH,Hyderabad,Retail,9,3500,31500,863,Delivered,Net Banking
100148,2025-08-15,2025-08-22,Webcam,Accessories,Global Supply,Delhi WH,Hyderabad,Retail,18,2500,45000,1060,Delivered,UPI
100149,2025-12-02,2025-12-06,Projector,Electronics,Prime Distributors,Hyderabad WH,Hyderabad,Wholesale,20,40000,800000,2189,In Transit,UPI
100150,2025-04-02,2025-04-04,Keyboard,Accessories,Global Supply,Mumbai WH,Kolkata,Wholesale,16,900,14400,2239,Delivered,Net Banking
100151,2025-07-15,2025-07-18,Laptop,Electronics,ABC Suppliers,Delhi WH,Lucknow,Retail,12,55000,660000,2973,In Transit,Debit Card
100152,2025-12-31,2026-01-04,Office Desk,Furniture,ABC Suppliers,Bangalore WH,Mumbai,Retail,10,15000,150000,1185,Cancelled,Net Banking
100153,2025-03-13,2025-03-17,Projector,Electronics,XYZ Traders,Bangalore WH,Bangalore,Wholesale,4,40000,160000,2351,Delivered,Credit Card
100154,2025-05-26,2025-06-01,Router,Networking,ABC Suppliers,Delhi WH,Lucknow,Retail,13,3500,45500,2137,Delivered,Credit Card
100155,2025-10-04,2025-10-08,Hard Disk,Storage,Tech World,Mumbai WH,Hyderabad,Wholesale,4,4200,16800,2932,Delivered,Credit Card
100156,2025-07-25,2025-07-30,Projector,Electronics,Prime Distributors,Bangalore WH,Lucknow,Wholesale,8,40000,320000,2925,Delivered,Debit Card
100157,2025-01-11,2025-01-17,Switch,Networking,Tech World,Chennai WH,Kolkata,Retail,2,6000,12000,1077,Delivered,Net Banking
100158,2025-01-02,2025-01-07,Projector,Electronics,Global Supply,Bangalore WH,Chennai,Retail,20,40000,800000,2915,Delivered,Net Banking
100159,2025-04-06,2025-04-09,Switch,Networking,XYZ Traders,Bangalore WH,Delhi,Retail,15,6000,90000,1951,Delivered,Debit Card
100160,2025-04-27,2025-05-03,Switch,Networking,Global Supply,Mumbai WH,Bangalore,Wholesale,9,6000,54000,2877,Delivered,Net Banking
100161,2025-11-30,2025-12-07,Scanner,Office Supplies,ABC Suppliers,Hyderabad WH,Bangalore,Retail,6,12000,72000,1038,Delivered,Credit Card
100162,2025-08-07,2025-08-13,SSD,Storage,Global Supply,Chennai WH,Lucknow,Wholesale,1,5500,5500,2662,In Transit,Net Banking
100163,2025-04-02,2025-04-05,Laptop,Electronics,Tech World,Bangalore WH,Ahmedabad,Wholesale,16,55000,880000,1957,Delivered,Net Banking
100164,2025-07-01,2025-07-02,Hard Disk,Storage,Prime Distributors,Delhi WH,Lucknow,Wholesale,14,4200,58800,1427,Delivered,UPI
100165,2025-02-27,2025-03-01,Projector,Electronics,Tech World,Chennai WH,Ahmedabad,Wholesale,18,40000,720000,1379,Delivered,Cash
100166,2025-03-03,2025-03-04,Projector,Electronics,Global Supply,Hyderabad WH,Mumbai,Retail,19,40000,760000,2985,Delivered,UPI
100167,2025-08-23,2025-08-30,Projector,Electronics,Prime Distributors,Mumbai WH,Kolkata,Wholesale,14,40000,560000,596,Delivered,Net Banking
100168,2025-06-23,2025-06-25,Router,Networking,ABC Suppliers,Chennai WH,Delhi,Wholesale,2,3500,7000,793,Delivered,UPI
100169,2025-07-16,2025-07-18,Projector,Electronics,Prime Distributors,Hyderabad WH,Pune,Retail,1,40000,40000,345,In Transit,Debit Card
100170,2025-04-24,2025-04-25,Scanner,Office Supplies,Tech World,Hyderabad WH,Lucknow,Wholesale,12,12000,144000,259,Delayed,Net Banking
100171,2025-12-24,2025-12-31,Router,Networking,XYZ Traders,Chennai WH,Pune,Wholesale,20,3500,70000,669,Delivered,UPI
100172,2025-11-07,2025-11-08,Scanner,Office Supplies,Global Supply,Mumbai WH,Bangalore,Retail,6,12000,72000,3000,Delivered,UPI
100173,2025-12-18,2025-12-19,Webcam,Accessories,XYZ Traders,Bangalore WH,Lucknow,Wholesale,18,2500,45000,2119,In Transit,Debit Card
100174,2025-07-01,2025-07-05,Desktop,Electronics,Tech World,Bangalore WH,Lucknow,Wholesale,18,45000,810000,1518,Delayed,UPI
100175,2025-10-03,2025-10-06,Desktop,Electronics,Prime Distributors,Delhi WH,Delhi,Wholesale,18,45000,810000,1073,Delivered,Cash
100176,2025-05-04,2025-05-09,Office Chair,Furniture,Prime Distributors,Chennai WH,Pune,Wholesale,7,8500,59500,2541,Cancelled,Credit Card
100177,2025-04-19,2025-04-21,Mouse,Accessories,ABC Suppliers,Chennai WH,Kolkata,Wholesale,6,700,4200,2052,Delivered,UPI
100178,2025-11-03,2025-11-09,Switch,Networking,Prime Distributors,Delhi WH,Pune,Wholesale,9,6000,54000,2659,Delivered,Cash
100179,2025-01-30,2025-02-01,Office Chair,Furniture,Global Supply,Mumbai WH,Lucknow,Wholesale,19,8500,161500,586,Delayed,UPI
100180,2025-10-03,2025-10-08,Router,Networking,Tech World,Chennai WH,Hyderabad,Retail,19,3500,66500,385,Delivered,Net Banking
100181,2025-04-01,2025-04-08,Hard Disk,Storage,XYZ Traders,Hyderabad WH,Chennai,Wholesale,16,4200,67200,2253,Delivered,Credit Card
100182,2025-06-14,2025-06-20,Router,Networking,Prime Distributors,Delhi WH,Lucknow,Wholesale,12,3500,42000,2740,Delivered,Cash
100183,2025-01-22,2025-01-27,Projector,Electronics,Global Supply,Delhi WH,Ahmedabad,Retail,1,40000,40000,2231,Delivered,UPI
100184,2025-06-30,2025-07-03,Office Chair,Furniture,XYZ Traders,Chennai WH,Jaipur,Retail,3,8500,25500,1517,Cancelled,UPI
100185,2025-11-16,2025-11-18,Office Desk,Furniture,XYZ Traders,Delhi WH,Mumbai,Retail,15,15000,225000,785,Delivered,Credit Card
100186,2025-10-08,2025-10-14,Scanner,Office Supplies,Global Supply,Delhi WH,Delhi,Wholesale,3,12000,36000,1417,Delivered,Cash
100187,2025-01-28,2025-02-01,Desktop,Electronics,Global Supply,Mumbai WH,Jaipur,Wholesale,12,45000,540000,628,Delayed,Debit Card
