order_id,customer_id,warehouse_id,order_date,payment_method,order_status
ORD00086,CUST0956,WH005,2025-11-23,Credit Card,Shipped
ORD00087,CUST0135,WH003,2025-02-24,UPI,Shipped
ORD00088,CUST0632,WH005,2025-11-10,Net Banking,Delivered
ORD00089,CUST0611,WH004,2025-04-29,Credit Card,Delivered
ORD00090,CUST0082,WH008,2025-07-03,Credit Card,Delivered
ORD00091,CUST0481,WH006,2025-11-06,Credit Card,Shipped
ORD00092,CUST0486,WH003,2025-09-09,Credit Card,Delivered
ORD00093,CUST0419,WH001,2025-01-17,Debit Card,Returned
ORD00094,CUST0761,WH004,2025-04-24,Credit Card,Delivered
ORD00095,CUST0888,WH010,2025-08-13,Cash,Delivered
ORD00096,CUST0909,WH004,2025-08-23,Cash,Delivered
ORD00097,CUST0623,WH007,2025-01-22,Debit Card,Delivered
ORD00098,CUST0609,WH009,2025-10-20,Net Banking,Delivered
ORD00099,CUST0806,WH001,2025-12-27,Net Banking,Delivered
ORD00100,CUST0847,WH001,2025-08-22,Credit Card,Delivered
ORD00101,CUST0753,WH001,2025-07-22,Net Banking,Delivered
ORD00102,CUST0986,WH001,2025-11-19,Credit Card,Delivered
ORD00103,CUST0906,WH005,2025-07-23,Debit Card,Delivered
ORD00104,CUST0302,WH010,2025-08-05,UPI,Delivered
ORD00105,CUST0475,WH008,2025-03-14,UPI,Delivered
ORD00106,CUST0185,WH010,2025-02-27,Net Banking,Delivered
ORD00107,CUST0332,WH008,2025-07-31,UPI,Delivered
ORD00108,CUST0919,WH004,2025-10-30,Cash,Delivered
ORD00109,CUST0709,WH003,2025-06-15,UPI,Delivered
ORD00110,CUST0461,WH006,2025-12-28,UPI,Delivered
ORD00111,CUST0745,WH009,2025-07-16,Net Banking,Cancelled
ORD00112,CUST0564,WH007,2025-07-13,UPI,Shipped
ORD00113,CUST0580,WH003,2025-06-21,Credit Card,Shipped
ORD00114,CUST0788,WH001,2025-04-02,Cash,Delivered
ORD00115,CUST0296,WH003,2025-08-17,UPI,Cancelled
ORD00116,CUST0004,WH010,2025-04-14,Debit Card,Delivered
ORD00117,CUST0876,WH008,2025-09-12,Net Banking,Shipped
ORD00118,CUST0904,WH008,2025-11-08,Credit Card,Delivered
ORD00119,CUST0488,WH008,2025-12-04,Cash,Delivered
ORD00120,CUST0615,WH001,2025-11-04,Credit Card,Cancelled
ORD00121,CUST0635,WH009,2025-05-23,Credit Card,Delivered
ORD00122,CUST0057,WH006,2025-03-17,UPI,Delivered
ORD00123,CUST0684,WH010,2025-01-17,Net Banking,Delivered
ORD00124,CUST0051,WH002,2025-02-14,Cash,Returned
ORD00125,CUST0689,WH005,2025-03-24,Net Banking,Delivered
ORD00126,CUST0610,WH010,2025-12-25,Net Banking,Delivered
ORD00127,CUST0768,WH010,2025-08-22,Debit Card,Cancelled
ORD00128,CUST0787,WH005,2025-02-17,Debit Card,Delivered
ORD00129,CUST0840,WH002,2025-07-14,Cash,Shipped
ORD00130,CUST0300,WH008,2025-02-03,Credit Card,Delivered
ORD00131,CUST0338,WH009,2025-05-21,Cash,Delivered
ORD00132,CUST0215,WH010,2025-12-23,UPI,Delivered
ORD00133,CUST0542,WH002,2025-11-19,Cash,Delivered
ORD00134,CUST0957,WH005,2025-11-06,Cash,Delivered
ORD00135,CUST0266,WH009,2025-06-12,Net Banking,Returned
ORD00136,CUST0950,WH003,2025-07-01,Net Banking,Delivered
ORD00137,CUST0747,WH008,2025-09-24,Cash,Shipped
ORD00138,CUST0239,WH005,2025-11-09,Credit Card,Delivered
ORD00139,CUST0477,WH002,2025-01-13,Credit Card,Shipped
ORD00140,CUST0424,WH001,2025-08-01,Debit Card,Delivered
ORD00141,CUST0218,WH001,2025-11-23,Credit Card,Delivered
ORD00142,CUST0810,WH002,2025-05-11,Debit Card,Delivered
ORD00143,CUST0332,WH001,2025-10-09,UPI,Delivered
ORD00144,CUST0406,WH010,2025-06-24,Net Banking,Returned
ORD00145,CUST0199,WH006,2025-03-31,Debit Card,Cancelled
ORD00146,CUST0939,WH008,2025-09-03,UPI,Delivered
ORD00147,CUST0160,WH008,2025-09-04,Net Banking,Cancelled
ORD00148,CUST0803,WH007,2025-08-25,UPI,Shipped
ORD00149,CUST0579,WH006,2025-06-03,Net Banking,Delivered
ORD00150,CUST0592,WH006,2025-04-17,Debit Card,Delivered
ORD00151,CUST0288,WH001,2025-03-18,Debit Card,Returned
ORD00152,CUST0548,WH003,2025-11-17,Net Banking,Delivered
ORD00153,CUST0610,WH002,2025-04-06,Debit Card,Delivered
ORD00154,CUST0727,WH001,2025-06-11,Debit Card,Delivered
ORD00155,CUST0899,WH004,2025-09-12,Debit Card,Delivered
ORD00156,CUST0222,WH009,2025-06-04,Debit Card,Delivered
ORD00157,CUST0804,WH001,2025-07-11,Credit Card,Cancelled
ORD00158,CUST0519,WH001,2025-08-16,Cash,Cancelled
ORD00159,CUST0195,WH006,2025-03-20,Cash,Delivered
ORD00160,CUST0318,WH006,2025-09-26,Credit Card,Shipped
ORD00161,CUST0842,WH009,2025-02-20,Credit Card,Delivered
ORD00162,CUST0471,WH007,2025-01-19,Net Banking,Delivered
ORD00163,CUST0955,WH001,2025-06-09,Net Banking,Cancelled
ORD00164,CUST0479,WH001,2025-06-20,UPI,Delivered
ORD00165,CUST0764,WH005,2025-12-04,UPI,Delivered
ORD00166,CUST0655,WH004,2025-06-09,Debit Card,Delivered
ORD00167,CUST0284,WH009,2025-05-27,Debit Card,Shipped
ORD00168,CUST0121,WH005,2025-12-10,Credit Card,Delivered
ORD00169,CUST0016,WH010,2025-02-28,Net Banking,Delivered
ORD00170,CUST0556,WH006,2025-04-16,Net Banking,Delivered
ORD00171,CUST0966,WH005,2025-03-14,Net Banking,Delivered
ORD00172,CUST0319,WH010,2025-02-06,Debit Card,Delivered
ORD00173,CUST0134,WH001,2025-01-26,Cash,Cancelled
ORD00174,CUST0109,WH007,2025-01-26,UPI,Delivered
ORD00175,CUST0184,WH010,2025-07-20,Net Banking,Delivered
ORD00176,CUST0717,WH008,2025-12-20,Net Banking,Delivered
ORD00177,CUST0838,WH004,2025-06-20,Net Banking,Delivered
ORD00178,CUST0582,WH003,2025-08-27,UPI,Shipped
ORD00179,CUST0480,WH002,2025-12-24,Cash,Delivered
ORD00180,CUST0728,WH008,2025-11-26,Cash,Delivered
ORD00181,CUST0148,WH010,2025-04-25,Debit Card,Cancelled
ORD00182,CUST0188,WH006,2025-07-20,Debit Card,Delivered
ORD00183,CUST0067,WH008,2025-01-16,UPI,Delivered
ORD00184,CUST0867,WH003,2025-08-25,Debit Card,Shipped
ORD00185,CUST0589,WH003,2025-11-06,Net Banking,Delivered
ORD00186,CUST0334,WH009,2025-02-24,UPI,Shipped
ORD00187,CUST0473,WH007,2025-09-30,Net Banking,Delivered
ORD00188,CUST0250,WH009,2025-11-14,Credit Card,Returned
ORD00189,CUST0068,WH006,2025-07-16,Credit Card,Shipped
ORD00190,CUST0442,WH007,2025-10-30,Net Banking,Shipped
ORD00191,CUST0711,WH004,2025-10-06,Credit Card,Delivered
ORD00192,CUST0758,WH010,2025-02-09,Cash,Delivered
ORD00193,CUST0475,WH006,2025-11-02,Net Banking,Delivered
ORD00194,CUST0181,WH005,2025-08-16,Cash,Delivered
ORD00195,CUST0702,WH010,2025-02-25,Cash,Delivered
ORD00196,CUST0677,WH001,2025-11-27,UPI,Delivered
ORD00197,CUST0909,WH010,2025-03-13,UPI,Shipped
ORD00198,CUST0153,WH008,2025-12-05,Net Banking,Delivered
ORD00199,CUST0592,WH008,2025-11-12,Credit Card,Delivered
ORD00200,CUST0307,WH010,2025-06-12,Debit Card,Cancelled
ORD00201,CUST0736,WH006,2025-08-11,UPI,Delivered
ORD00202,CUST0523,WH007,2025-11-10,Credit Card,Shipped
ORD00203,CUST0379,WH009,2025-02-01,UPI,Delivered
ORD00204,CUST0841,WH006,2025-10-14,UPI,Shipped
ORD00205,CUST0241,WH007,2025-01-16,Net Banking,Delivered
ORD00206,CUST0729,WH007,2025-06-12,Cash,Delivered
ORD00207,CUST0217,WH003,2025-10-07,Cash,Delivered
ORD00208,CUST0394,WH006,2025-10-12,Cash,Delivered
ORD00209,CUST0129,WH003,2025-12-10,UPI,Delivered
ORD00210,CUST0148,WH008,2025-01-09,Cash,Returned
ORD00211,CUST0087,WH003,2025-03-11,Cash,Shipped
ORD00212,CUST0619,WH007,2025-12-23,Net Banking,Delivered
ORD00213,CUST0435,WH009,2025-09-18,Cash,Delivered
ORD00214,CUST0191,WH007,2025-04-26,Net Banking,Delivered
ORD00215,CUST0868,WH004,2025-09-13,Net Banking,Delivered
ORD00216,CUST0591,WH006,2025-10-07,UPI,Returned
ORD00217,CUST0495,WH006,2025-10-18,UPI,Delivered
ORD00218,CUST0082,WH003,2025-12-20,Net Banking,Returned
ORD00219,CUST0477,WH009,2025-05-24,UPI,Delivered
ORD00220,CUST0091,WH004,2025-11-09,Cash,Delivered
ORD00221,CUST0984,WH002,2025-12-06,Net Banking,Shipped
ORD00222,CUST0628,WH001,2025-06-09,Debit Card,Delivered
ORD00223,CUST0481,WH008,2025-01-06,Net Banking,Cancelled
ORD00224,CUST0752,WH006,2025-10-21,Cash,Delivered
ORD00225,CUST0297,WH003,2025-05-31,UPI,Delivered
ORD00226,CUST0768,WH005,2025-11-02,Net Banking,Delivered
ORD00227,CUST0485,WH010,2025-11-19,Credit Card,Delivered
ORD00228,CUST0299,WH010,2025-12-03,UPI,Delivered
ORD00229,CUST0130,WH009,2025-02-12,UPI,Shipped
ORD00230,CUST0259,WH003,2025-05-23,Net Banking,Delivered
ORD00231,CUST0015,WH002,2025-05-12,Net Banking,Delivered
ORD00232,CUST0757,WH003,2025-10-30,Cash,Delivered
ORD00233,CUST0268,WH004,2025-03-31,Cash,Delivered
ORD00234,CUST0883,WH001,2025-09-28,Debit Card,Returned
ORD00235,CUST0610,WH003,2025-03-16,Cash,Shipped
ORD00236,CUST0789,WH007,2025-07-31,Credit Card,Delivered
ORD00237,CUST0172,WH004,2025-11-23,Net Banking,Delivered
ORD00238,CUST0056,WH005,2025-06-26,UPI,Delivered
ORD00239,CUST0409,WH008,2025-08-26,Debit Card,Delivered
ORD00240,CUST0240,WH007,2025-09-30,Cash,Delivered
ORD00241,CUST0544,WH007,2025-03-16,UPI,Delivered
ORD00242,CUST0392,WH006,2025-08-18,Net Banking,Delivered
ORD00243,CUST0100,WH009,2025-01-22,Debit Card,Returned
ORD00244,CUST0626,WH005,2025-08-10,Debit Card,Delivered
ORD00245,CUST0262,WH010,2025-02-20,Cash,Delivered
ORD00246,CUST0768,WH004,2025-12-12,Net Banking,Shipped
ORD00247,CUST0346,WH003,2025-09-24,Debit Card,Delivered
ORD00248,CUST0009,WH002,2025-12-11,UPI,Delivered
ORD00249,CUST0107,WH008,2025-09-26,Debit Card,Delivered
ORD00250,CUST0258,WH004,2025-05-26,UPI,Delivered
ORD00251,CUST0059,WH010,2025-02-17,Credit Card,Returned
ORD00252,CUST0125,WH002,2025-11-23,UPI,Shipped
ORD00253,CUST0385,WH010,2025-03-08,Credit Card,Cancelled
ORD00254,CUST0189,WH005,2025-12-23,Debit Card,Delivered
ORD00255,CUST0655,WH008,2025-02-08,Debit Card,Shipped
ORD00256,CUST0926,WH006,2025-12-21,Debit Card,Delivered
ORD00257,CUST0284,WH001,2025-02-07,Cash,Delivered
ORD00258,CUST0265,WH005,2025-01-31,Credit Card,Delivered
ORD00259,CUST0951,WH004,2025-09-09,Net Banking,Delivered
ORD00260,CUST0504,WH002,2025-11-27,Credit Card,Delivered
ORD00261,CUST0224,WH010,2025-08-09,UPI,Cancelled
ORD00262,CUST0106,WH001,2025-05-13,UPI,Delivered
ORD00263,CUST0796,WH008,2025-05-09,UPI,Cancelled
ORD00264,CUST0669,WH001,2025-03-18,UPI,Delivered
ORD00265,CUST0156,WH006,2025-05-17,Cash,Delivered
ORD00266,CUST0725,WH008,2025-09-21,Cash,Delivered
ORD00267,CUST0554,WH004,2025-02-05,UPI,Delivered
ORD00268,CUST0838,WH008,2025-12-19,UPI,Delivered
ORD00269,CUST0342,WH005,2025-07-03,Cash,Delivered
ORD00270,CUST0093,WH006,2025-11-28,Net Banking,Shipped
ORD00271,CUST0083,WH008,2025-06-24,Debit Card,Delivered
ORD00272,CUST0568,WH001,2025-04-01,Cash,Delivered
ORD00273,CUST0713,WH007,2025-06-03,UPI,Delivered
ORD00274,CUST0499,WH002,2025-07-03,Cash,Delivered
ORD00275,CUST0037,WH004,2025-03-13,UPI,Delivered
ORD00276,CUST0245,WH008,2025-10-31,Cash,Delivered
ORD00277,CUST0659,WH005,2025-10-04,Cash,Delivered
ORD00278,CUST0990,WH001,2025-08-19,UPI,Delivered
ORD00279,CUST0807,WH001,2025-06-22,Cash,Delivered
ORD00280,CUST0684,WH009,2025-12-01,Cash,Cancelled
ORD00281,CUST0153,WH010,2025-10-02,Credit Card,Cancelled
ORD00282,CUST0754,WH003,2025-01-19,Cash,Delivered
ORD00283,CUST0929,WH010,2025-08-30,UPI,Delivered
ORD00284,CUST0134,WH001,2025-11-29,Credit Card,Delivered
ORD00285,CUST0841,WH002,2025-06-07,Cash,Delivered
ORD00286,CUST0066,WH002,2025-10-30,UPI,Delivered
ORD00287,CUST0226,WH002,2025-11-12,Credit Card,Delivered
ORD00288,CUST0412,WH006,2025-12-14,UPI,Returned
ORD00289,CUST0559,WH003,2025-10-22,Debit Card,Shipped
ORD00290,CUST0783,WH001,2025-04-20,Net Banking,Delivered
ORD00291,CUST0124,WH005,2025-02-02,Credit Card,Shipped
ORD00292,CUST0714,WH006,2025-03-28,Net Banking,Delivered
ORD00293,CUST0948,WH010,2025-05-05,UPI,Delivered
ORD00294,CUST0628,WH007,2025-11-20,Credit Card,Delivered
ORD00295,CUST0083,WH001,2025-09-07,UPI,Delivered
ORD00296,CUST0724,WH010,2025-02-15,Debit Card,Delivered
ORD00297,CUST0709,WH003,2025-09-01,Credit Card,Delivered
ORD00298,CUST0536,WH008,2025-05-19,Cash,Delivered
ORD00299,CUST0626,WH001,2025-03-31,Net Banking,Delivered
ORD00300,CUST0627,WH002,2025-09-13,Debit Card,Delivered
ORD00301,CUST0572,WH004,2025-01-03,Credit Card,Delivered
ORD00302,CUST0098,WH010,2025-09-29,Debit Card,Shipped
ORD00303,CUST0520,WH004,2025-10-04,Cash,Shipped
ORD00304,CUST0214,WH005,2025-12-04,UPI,Delivered
ORD00305,CUST0702,WH008,2025-03-18,Cash,Delivered
ORD00306,CUST0945,WH001,2025-12-10,UPI,Delivered
ORD00307,CUST0215,WH007,2025-05-26,Debit Card,Delivered
ORD00308,CUST0045,WH002,2025-08-21,UPI,Cancelled
ORD00309,CUST0162,WH001,2025-04-01,Cash,Delivered
ORD00310,CUST0917,WH004,2025-02-06,Cash,Delivered
ORD00311,CUST0430,WH004,2025-06-16,Debit Card,Delivered
ORD00312,CUST0334,WH004,2025-02-26,UPI,Delivered
ORD00313,CUST0891,WH004,2025-07-31,Cash,Cancelled
ORD00314,CUST0483,WH010,2025-02-07,Cash,Delivered
ORD00315,CUST0149,WH004,2025-08-12,Net Banking,Delivered
ORD00316,CUST0383,WH003,2025-07-18,Cash,Delivered
ORD00317,CUST0368,WH005,2025-11-20,Credit Card,Delivered
ORD00318,CUST0709,WH010,2025-01-17,UPI,Delivered
ORD00319,CUST0873,WH008,2025-02-26,Cash,Delivered
ORD00320,CUST0226,WH005,2025-06-25,Net Banking,Delivered
ORD00321,CUST0976,WH010,2025-11-23,Credit Card,Delivered
ORD00322,CUST0876,WH004,2025-10-11,UPI,Delivered
ORD00323,CUST0501,WH004,2025-09-25,Net Banking,Delivered
ORD00324,CUST0286,WH001,2025-08-25,Cash,Delivered
ORD00325,CUST0254,WH006,2025-05-07,Cash,Delivered
ORD00326,CUST0969,WH003,2025-10-30,Net Banking,Cancelled
ORD00327,CUST0046,WH001,2025-08-02,Cash,Delivered
ORD00328,CUST0035,WH007,2025-09-16,Net Banking,Delivered
ORD00329,CUST0842,WH002,2025-12-23,Cash,Delivered
ORD00330,CUST0572,WH001,2025-02-12,Cash,Cancelled
ORD00331,CUST0368,WH005,2025-03-09,Credit Card,Delivered
ORD00332,CUST0017,WH008,2025-02-16,Debit Card,Delivered
ORD00333,CUST0879,WH010,2025-08-24,Net Banking,Delivered
ORD00334,CUST0475,WH003,2025-08-21,Cash,Delivered
ORD00335,CUST0642,WH008,2025-07-09,UPI,Shipped
ORD00336,CUST0395,WH006,2025-02-06,Net Banking,Delivered
ORD00337,CUST0771,WH005,2025-08-07,Net Banking,Delivered
ORD00338,CUST0807,WH002,2025-04-17,Net Banking,Cancelled
ORD00339,CUST0528,WH006,2025-01-29,UPI,Delivered
ORD00340,CUST0477,WH010,2025-07-07,UPI,Delivered
ORD00341,CUST0664,WH009,2025-03-31,UPI,Delivered
ORD00342,CUST0142,WH006,2025-04-15,Credit Card,Delivered
ORD00343,CUST0490,WH010,2025-11-29,Credit Card,Shipped
ORD00344,CUST0329,WH006,2025-04-26,Debit Card,Delivered
ORD00345,CUST0284,WH001,2025-08-05,UPI,Delivered
ORD00346,CUST0498,WH009,2025-08-20,Net Banking,Shipped
ORD00347,CUST0727,WH009,2025-08-29,Net Banking,Cancelled
ORD00348,CUST0636,WH006,2025-08-20,UPI,Delivered
ORD00349,CUST0090,WH002,2025-08-23,Cash,Cancelled
ORD00350,CUST0982,WH002,2025-05-28,UPI,Delivered
ORD00351,CUST0714,WH003,2025-02-27,Cash,Delivered
ORD00352,CUST0534,WH001,2025-04-15,Debit Card,Delivered
ORD00353,CUST0555,WH003,2025-12-16,Cash,Delivered
ORD00354,CUST0756,WH001,2025-08-16,Debit Card,Delivered
ORD00355,CUST0893,WH004,2025-01-12,Net Banking,Delivered
ORD00356,CUST0593,WH006,2025-07-30,Debit Card,Delivered
ORD00357,CUST0714,WH009,2025-12-07,Net Banking,Delivered
ORD00358,CUST0581,WH003,2025-06-05,Debit Card,Delivered
ORD00359,CUST0233,WH008,2025-05-14,Debit Card,Returned
ORD00360,CUST0152,WH006,2025-01-25,Debit Card,Delivered
ORD00361,CUST0634,WH003,2025-03-27,Net Banking,Delivered
ORD00362,CUST0860,WH003,2025-03-31,Credit Card,Delivered
ORD00363,CUST0325,WH010,2025-01-22,Credit Card,Delivered
ORD00364,CUST0189,WH004,2025-07-09,Net Banking,Delivered
ORD00365,CUST0325,WH006,2025-12-07,Credit Card,Delivered
ORD00366,CUST0999,WH003,2025-10-04,Net Banking,Delivered
ORD00367,CUST0415,WH008,2025-01-13,Credit Card,Cancelled
ORD00368,CUST0160,WH001,2025-06-13,Net Banking,Returned
ORD00369,CUST0663,WH005,2025-06-19,Cash,Cancelled
ORD00370,CUST0683,WH003,2025-10-21,Net Banking,Delivered
ORD00371,CUST0347,WH002,2025-08-15,Cash,Cancelled
ORD00372,CUST0695,WH009,2025-03-13,UPI,Delivered
ORD00373,CUST0633,WH004,2025-07-25,Cash,Delivered
ORD00374,CUST0057,WH010,2025-06-17,Credit Card,Delivered
ORD00375,CUST0801,WH005,2025-04-24,Credit Card,Delivered
ORD00376,CUST0870,WH008,2025-10-03,UPI,Returned
ORD00377,CUST0200,WH008,2025-07-21,Debit Card,Delivered
ORD00378,CUST0967,WH001,2025-09-19,Debit Card,Delivered
ORD00379,CUST0379,WH007,2025-08-07,Debit Card,Delivered
ORD00380,CUST0360,WH005,2025-06-26,Cash,Cancelled
ORD00381,CUST0221,WH008,2025-02-14,Cash,Shipped
ORD00382,CUST0168,WH007,2025-05-28,Cash,Delivered
ORD00383,CUST0613,WH002,2025-10-28,Credit Card,Delivered
ORD00384,CUST0889,WH009,2025-09-01,Debit Card,Delivered
ORD00385,CUST0775,WH007,2025-10-30,UPI,Delivered
ORD00386,CUST0937,WH005,2025-11-24,Cash,Delivered
ORD00387,CUST0728,WH010,2025-08-25,Credit Card,Delivered
ORD00388,CUST0297,WH009,2025-07-15,Cash,Delivered
ORD00389,CUST0855,WH010,2025-06-04,Debit Card,Delivered
ORD00390,CUST0230,WH001,2025-08-26,UPI,Delivered
ORD00391,CUST0979,WH008,2025-06-03,UPI,Delivered
ORD00392,CUST0428,WH003,2025-05-28,Cash,Cancelled
ORD00393,CUST0251,WH001,2025-11-27,UPI,Shipped
ORD00394,CUST0994,WH002,2025-09-10,Net Banking,Delivered
ORD00395,CUST0493,WH010,2025-10-25,Cash,Shipped
ORD00396,CUST0703,WH008,2025-11-18,UPI,Delivered
ORD00397,CUST0018,WH005,2025-10-22,Credit Card,Delivered
ORD00398,CUST0328,WH008,2025-03-16,Credit Card,Delivered
ORD00399,CUST0280,WH006,2025-01-28,Cash,Delivered
ORD00400,CUST0050,WH005,2025-07-02,Debit Card,Delivered
ORD00401,CUST0527,WH004,2025-02-09,Credit Card,Shipped
ORD00402,CUST0771,WH003,2025-11-03,Net Banking,Delivered
ORD00403,CUST0847,WH005,2025-06-11,Debit Card,Delivered
ORD00404,CUST0372,WH002,2025-12-19,Net Banking,Delivered
ORD00405,CUST0014,WH003,2025-03-15,Net Banking,Delivered
ORD00406,CUST0422,WH006,2025-09-06,Credit Card,Delivered
ORD00407,CUST0516,WH004,2025-03-21,Credit Card,Shipped
ORD00408,CUST0629,WH009,2025-10-14,Net Banking,Delivered
ORD00409,CUST0775,WH002,2025-12-26,Cash,Delivered
ORD00410,CUST0120,WH003,2025-02-09,UPI,Delivered
ORD00411,CUST0708,WH006,2025-06-09,Credit Card,Shipped
ORD00412,CUST0536,WH006,2025-11-02,Credit Card,Delivered
ORD00413,CUST0763,WH002,2025-01-15,Credit Card,Delivered
ORD00414,CUST0146,WH004,2025-12-22,Debit Card,Delivered
ORD00415,CUST0081,WH007,2025-03-08,UPI,Delivered
ORD00416,CUST0776,WH007,2025-09-05,UPI,Delivered
ORD00417,CUST0813,WH009,2025-01-17,Net Banking,Delivered
ORD00418,CUST0931,WH005,2025-03-02,UPI,Delivered
ORD00419,CUST0011,WH002,2025-12-08,UPI,Cancelled
ORD00420,CUST0602,WH004,2025-04-16,Credit Card,Delivered
