Order_ID,Order_Date,Delivery_Date,Product,Category,Supplier,Warehouse,City,State,Customer_Type,Order_Quantity,Unit_Price,Gross_Sales,Discount_Percentage,Discount_Amount,Net_Sales,Cost_Price,Total_Cost,Profit,Shipping_Cost,Delivery_Status,Payment_Method,Delivery_Days,Customer_Rating,Order_Priority
100011,2026-06-22,2026-06-27,Laptop,Electronics,XYZ Traders,Delhi WH,Lucknow,Uttar Pradesh,Wholesale,9,55000,495000,10,49500.0,445500.0,37013,333117,112383.0,1908,Delivered,Cash,5,4,High
100012,2026-04-06,2026-04-08,Switch,Networking,ABC Suppliers,Delhi WH,Lucknow,Uttar Pradesh,Retail,2,6000,12000,10,1200.0,10800.0,3469,6938,3862.0,2084,Delivered,Credit Card,2,2,High
100013,2026-02-16,2026-02-20,Monitor,Electronics,Tech World,Mumbai WH,Hyderabad,Telangana,Wholesale,6,12000,72000,15,10800.0,61200.0,9544,57264,3936.0,862,Delivered,Net Banking,4,3,Medium
100014,2026-10-08,2026-10-12,Office Desk,Furniture,Global Supply,Hyderabad WH,Pune,Maharashtra,Retail,17,15000,255000,10,25500.0,229500.0,11180,190060,39440.0,2161,Delivered,UPI,4,4,Low
100015,2026-03-22,2026-03-29,Printer,Office Supplies,Tech World,Hyderabad WH,Bangalore,Karnataka,Retail,9,15000,135000,15,20250.0,114750.0,10024,90216,24534.0,690,Delivered,Cash,7,5,Low
100016,2026-08-18,2026-08-23,Office Chair,Furniture,Tech World,Delhi WH,Hyderabad,Telangana,Wholesale,2,8500,17000,10,1700.0,15300.0,5773,11546,3754.0,895,Delivered,UPI,5,2,High
100017,2026-07-31,2026-08-01,Laptop,Electronics,Tech World,Delhi WH,Kolkata,West Bengal,Wholesale,18,55000,990000,10,99000.0,891000.0,34243,616374,274626.0,1186,Delivered,Debit Card,1,2,Medium
100018,2026-04-06,2026-04-10,Printer,Office Supplies,Tech World,Bangalore WH,Mumbai,Maharashtra,Wholesale,12,15000,180000,0,0.0,180000.0,10999,131988,48012.0,2104,Delayed,UPI,4,2,Low
100019,2026-09-12,2026-09-18,Switch,Networking,ABC Suppliers,Mumbai WH,Bangalore,Karnataka,Wholesale,11,6000,66000,5,3300.0,62700.0,3596,39556,23144.0,1611,Delivered,Debit Card,6,4,Medium
100020,2026-02-10,2026-02-13,Monitor,Electronics,Global Supply,Chennai WH,Mumbai,Maharashtra,Wholesale,2,12000,24000,5,1200.0,22800.0,7949,15898,6902.0,1233,Cancelled,Cash,3,2,High
100021,2026-05-18,2026-05-21,Office Chair,Furniture,Prime Distributors,Delhi WH,Ahmedabad,Gujarat,Retail,11,8500,93500,10,9350.0,84150.0,5258,57838,26312.0,1450,Delivered,Credit Card,3,2,Medium
100022,2026-07-26,2026-07-28,Mouse,Accessories,Tech World,Hyderabad WH,Lucknow,Uttar Pradesh,Retail,3,700,2100,5,105.0,1995.0,511,1533,462.0,2000,Delivered,Net Banking,2,5,High
100023,2026-06-10,2026-06-16,Printer,Office Supplies,ABC Suppliers,Delhi WH,Jaipur,Rajasthan,Retail,13,15000,195000,5,9750.0,185250.0,10135,131755,53495.0,2336,Delivered,Cash,6,4,Low
100024,2026-09-13,2026-09-16,Monitor,Electronics,Prime Distributors,Mumbai WH,Delhi,Delhi,Wholesale,6,12000,72000,15,10800.0,61200.0,8332,49992,11208.0,1838,Delivered,Debit Card,3,2,High
100025,2026-04-29,2026-05-03,Laptop,Electronics,Tech World,Delhi WH,Pune,Maharashtra,Wholesale,18,55000,990000,10,99000.0,891000.0,40254,724572,166428.0,1074,Delivered,Net Banking,4,2,Low
100026,2026-11-28,2026-12-04,SSD,Storage,Prime Distributors,Bangalore WH,Mumbai,Maharashtra,Wholesale,4,5500,22000,5,1100.0,20900.0,4061,16244,4656.0,2674,Delivered,Net Banking,6,4,High
100027,2026-09-29,2026-10-06,Keyboard,Accessories,XYZ Traders,Mumbai WH,Bangalore,Karnataka,Retail,9,900,8100,5,405.0,7695.0,711,6399,1296.0,2368,Delivered,Debit Card,7,2,Medium
100028,2026-03-28,2026-04-02,Router,Networking,ABC Suppliers,Hyderabad WH,Jaipur,Rajasthan,Retail,10,3500,35000,15,5250.0,29750.0,2617,26170,3580.0,1000,Delivered,UPI,5,1,Low
100029,2026-06-16,2026-06-23,Office Chair,Furniture,ABC Suppliers,Bangalore WH,Ahmedabad,Gujarat,Retail,20,8500,170000,5,8500.0,161500.0,5440,108800,52700.0,1760,Delivered,Credit Card,7,1,High
100030,2026-11-06,2026-11-07,Laptop,Electronics,XYZ Traders,Chennai WH,Chennai,Tamil Nadu,Retail,12,55000,660000,5,33000.0,627000.0,39317,471804,155196.0,2566,Cancelled,UPI,1,5,Low
100031,2026-02-28,2026-03-01,Desktop,Electronics,Global Supply,Hyderabad WH,Mumbai,Maharashtra,Wholesale,4,45000,180000,5,9000.0,171000.0,25126,100504,70496.0,988,Delayed,Net Banking,1,2,Medium
100032,2026-05-11,2026-05-13,Mouse,Accessories,Global Supply,Chennai WH,Mumbai,Maharashtra,Retail,13,700,9100,10,910.0,8190.0,517,6721,1469.0,789,Delivered,Cash,2,4,High
100033,2026-06-25,2026-07-01,Router,Networking,Global Supply,Delhi WH,Kolkata,West Bengal,Retail,20,3500,70000,10,7000.0,63000.0,1981,39620,23380.0,1425,Delivered,Net Banking,6,4,High
100034,2026-08-02,2026-08-04,Scanner,Office Supplies,XYZ Traders,Mumbai WH,Kolkata,West Bengal,Retail,3,12000,36000,5,1800.0,34200.0,8928,26784,7416.0,756,In Transit,Debit Card,2,2,High
100035,2026-11-08,2026-11-14,Monitor,Electronics,XYZ Traders,Delhi WH,Kolkata,West Bengal,Wholesale,13,12000,156000,5,7800.0,148200.0,8974,116662,31538.0,2797,Delivered,Credit Card,6,5,High
100036,2026-10-19,2026-10-20,Hard Disk,Storage,Global Supply,Chennai WH,Kolkata,West Bengal,Retail,8,4200,33600,5,1680.0,31920.0,2680,21440,10480.0,1564,Delivered,Net Banking,1,5,Medium
100037,2026-07-02,2026-07-09,Hard Disk,Storage,Tech World,Hyderabad WH,Delhi,Delhi,Wholesale,14,4200,58800,10,5880.0,52920.0,2732,38248,14672.0,2161,Delayed,UPI,7,2,Low
100038,2026-08-14,2026-08-20,Desktop,Electronics,Tech World,Bangalore WH,Lucknow,Uttar Pradesh,Retail,7,45000,315000,0,0.0,315000.0,24753,173271,141729.0,373,Cancelled,UPI,6,5,Medium
100039,2026-09-19,2026-09-20,Monitor,Electronics,Prime Distributors,Bangalore WH,Hyderabad,Telangana,Retail,14,12000,168000,0,0.0,168000.0,6987,97818,70182.0,2580,In Transit,Debit Card,1,4,High
100040,2026-12-20,2026-12-23,Mouse,Accessories,Prime Distributors,Bangalore WH,Kolkata,West Bengal,Retail,5,700,3500,0,0.0,3500.0,413,2065,1435.0,1501,Delivered,Cash,3,4,High
100041,2026-05-10,2026-05-15,Webcam,Accessories,Global Supply,Bangalore WH,Pune,Maharashtra,Retail,9,2500,22500,0,0.0,22500.0,1929,17361,5139.0,1779,Delivered,Cash,5,4,High
100042,2026-01-03,2026-01-10,Switch,Networking,Tech World,Mumbai WH,Ahmedabad,Gujarat,Wholesale,11,6000,66000,5,3300.0,62700.0,4770,52470,10230.0,2994,Delivered,Net Banking,7,1,Low
100043,2026-07-31,2026-08-03,Laptop,Electronics,Tech World,Delhi WH,Kolkata,West Bengal,Retail,19,55000,1045000,15,156750.0,888250.0,36461,692759,195491.0,2344,Delivered,Debit Card,3,5,Low
100044,2026-07-06,2026-07-07,Laptop,Electronics,Tech World,Mumbai WH,Lucknow,Uttar Pradesh,Retail,9,55000,495000,10,49500.0,445500.0,37355,336195,109305.0,1485,Delivered,Credit Card,1,1,Low
100045,2026-08-08,2026-08-11,Router,Networking,Tech World,Delhi WH,Chennai,Tamil Nadu,Wholesale,12,3500,42000,0,0.0,42000.0,2760,33120,8880.0,2496,Delivered,Net Banking,3,3,High
100046,2026-09-21,2026-09-22,SSD,Storage,Tech World,Delhi WH,Mumbai,Maharashtra,Retail,3,5500,16500,5,825.0,15675.0,3458,10374,5301.0,939,Cancelled,Cash,1,3,Low
100047,2026-12-09,2026-12-16,Webcam,Accessories,ABC Suppliers,Mumbai WH,Bangalore,Karnataka,Wholesale,15,2500,37500,15,5625.0,31875.0,1721,25815,6060.0,728,Delivered,Credit Card,7,4,Medium
100048,2026-06-04,2026-06-05,Desktop,Electronics,ABC Suppliers,Delhi WH,Lucknow,Uttar Pradesh,Retail,12,45000,540000,0,0.0,540000.0,32296,387552,152448.0,2922,Delivered,Cash,1,1,Low
100049,2026-03-03,2026-03-06,Projector,Electronics,Tech World,Delhi WH,Jaipur,Rajasthan,Wholesale,15,40000,600000,5,30000.0,570000.0,24590,368850,201150.0,2681,Delivered,Net Banking,3,5,Medium
100050,2026-09-14,2026-09-20,SSD,Storage,Prime Distributors,Chennai WH,Lucknow,Uttar Pradesh,Retail,13,5500,71500,5,3575.0,67925.0,3659,47567,20358.0,2684,In Transit,Cash,6,3,High
100051,2026-09-14,2026-09-21,Printer,Office Supplies,XYZ Traders,Mumbai WH,Pune,Maharashtra,Wholesale,8,15000,120000,10,12000.0,108000.0,11825,94600,13400.0,2321,Delivered,Net Banking,7,1,Low
100052,2026-03-28,2026-03-29,Mouse,Accessories,Prime Distributors,Bangalore WH,Jaipur,Rajasthan,Retail,4,700,2800,5,140.0,2660.0,513,2052,608.0,1810,Delivered,Net Banking,1,3,Medium
100053,2026-05-09,2026-05-13,Projector,Electronics,XYZ Traders,Mumbai WH,Hyderabad,Telangana,Retail,6,40000,240000,15,36000.0,204000.0,22056,132336,71664.0,1399,In Transit,UPI,4,1,High
100054,2026-10-04,2026-10-06,Scanner,Office Supplies,Prime Distributors,Chennai WH,Kolkata,West Bengal,Wholesale,19,12000,228000,0,0.0,228000.0,6860,130340,97660.0,1391,Delivered,UPI,2,2,High
100055,2026-11-14,2026-11-18,SSD,Storage,ABC Suppliers,Chennai WH,Ahmedabad,Gujarat,Wholesale,19,5500,104500,15,15675.0,88825.0,3370,64030,24795.0,748,Cancelled,Credit Card,4,2,Medium
100056,2026-01-17,2026-01-22,Scanner,Office Supplies,Global Supply,Delhi WH,Bangalore,Karnataka,Retail,9,12000,108000,5,5400.0,102600.0,7181,64629,37971.0,2677,Delivered,Cash,5,1,Medium
100057,2026-06-30,2026-07-02,Keyboard,Accessories,Prime Distributors,Chennai WH,Hyderabad,Telangana,Wholesale,3,900,2700,0,0.0,2700.0,531,1593,1107.0,2161,Delivered,UPI,2,3,Medium
100058,2026-11-10,2026-11-15,Laptop,Electronics,ABC Suppliers,Delhi WH,Lucknow,Uttar Pradesh,Wholesale,8,55000,440000,10,44000.0,396000.0,35252,282016,113984.0,1408,In Transit,Cash,5,3,High
100059,2026-02-23,2026-02-28,Switch,Networking,Tech World,Mumbai WH,Mumbai,Maharashtra,Wholesale,18,6000,108000,10,10800.0,97200.0,4460,80280,16920.0,2944,Delivered,UPI,5,1,Low
100060,2026-07-16,2026-07-22,Projector,Electronics,ABC Suppliers,Chennai WH,Bangalore,Karnataka,Retail,13,40000,520000,0,0.0,520000.0,24593,319709,200291.0,2500,Delivered,Cash,6,1,Medium
100061,2026-06-25,2026-07-01,Projector,Electronics,ABC Suppliers,Hyderabad WH,Jaipur,Rajasthan,Wholesale,1,40000,40000,15,6000.0,34000.0,31341,31341,2659.0,879,Delivered,Debit Card,6,5,High
100062,2026-08-07,2026-08-11,Router,Networking,Global Supply,Hyderabad WH,Mumbai,Maharashtra,Retail,19,3500,66500,5,3325.0,63175.0,2337,44403,18772.0,653,Delayed,Credit Card,4,2,Medium
100063,2026-02-04,2026-02-11,Printer,Office Supplies,ABC Suppliers,Delhi WH,Jaipur,Rajasthan,Wholesale,2,15000,30000,10,3000.0,27000.0,11401,22802,4198.0,2055,Delivered,Cash,7,2,High
100064,2026-10-03,2026-10-06,SSD,Storage,Global Supply,Hyderabad WH,Ahmedabad,Gujarat,Retail,8,5500,44000,0,0.0,44000.0,3795,30360,13640.0,2211,Delivered,UPI,3,2,High
100065,2026-06-15,2026-06-21,Switch,Networking,Tech World,Chennai WH,Bangalore,Karnataka,Wholesale,11,6000,66000,0,0.0,66000.0,4375,48125,17875.0,506,Delivered,Net Banking,6,1,Low
100066,2026-09-02,2026-09-09,SSD,Storage,Prime Distributors,Delhi WH,Pune,Maharashtra,Wholesale,5,5500,27500,0,0.0,27500.0,4186,20930,6570.0,913,Delivered,UPI,7,2,Low
100067,2026-08-27,2026-09-02,Laptop,Electronics,Global Supply,Hyderabad WH,Delhi,Delhi,Retail,12,55000,660000,10,66000.0,594000.0,41594,499128,94872.0,2930,Delivered,UPI,6,5,High
100068,2026-05-07,2026-05-11,Mouse,Accessories,XYZ Traders,Mumbai WH,Hyderabad,Telangana,Retail,8,700,5600,0,0.0,5600.0,463,3704,1896.0,2449,Delivered,Net Banking,4,4,Medium
100069,2026-12-09,2026-12-11,Switch,Networking,ABC Suppliers,Mumbai WH,Pune,Maharashtra,Wholesale,9,6000,54000,5,2700.0,51300.0,4406,39654,11646.0,2486,Delivered,Cash,2,4,High
100070,2026-08-10,2026-08-13,Keyboard,Accessories,Global Supply,Delhi WH,Mumbai,Maharashtra,Wholesale,11,900,9900,0,0.0,9900.0,530,5830,4070.0,2748,Delivered,Net Banking,3,1,Medium
100071,2026-12-01,2026-12-07,Monitor,Electronics,Global Supply,Bangalore WH,Jaipur,Rajasthan,Retail,15,12000,180000,0,0.0,180000.0,8136,122040,57960.0,2807,Delivered,Debit Card,6,3,High
100072,2026-02-04,2026-02-07,Office Chair,Furniture,Tech World,Chennai WH,Lucknow,Uttar Pradesh,Retail,2,8500,17000,0,0.0,17000.0,5674,11348,5652.0,1144,In Transit,Cash,3,3,Medium
100073,2026-04-08,2026-04-09,Mouse,Accessories,Tech World,Mumbai WH,Delhi,Delhi,Retail,16,700,11200,10,1120.0,10080.0,525,8400,1680.0,731,Delivered,Credit Card,1,4,High
100074,2026-10-19,2026-10-22,Keyboard,Accessories,Prime Distributors,Delhi WH,Chennai,Tamil Nadu,Retail,18,900,16200,0,0.0,16200.0,694,12492,3708.0,1984,Delivered,Credit Card,3,1,High
100075,2026-08-07,2026-08-09,Hard Disk,Storage,ABC Suppliers,Chennai WH,Chennai,Tamil Nadu,Wholesale,14,4200,58800,15,8820.0,49980.0,3143,44002,5978.0,812,Delivered,Net Banking,2,3,Low
100076,2026-12-17,2026-12-19,SSD,Storage,ABC Suppliers,Mumbai WH,Bangalore,Karnataka,Wholesale,1,5500,5500,10,550.0,4950.0,3475,3475,1475.0,731,Delivered,UPI,2,5,Medium
100077,2026-08-20,2026-08-25,Office Desk,Furniture,Prime Distributors,Hyderabad WH,Hyderabad,Telangana,Retail,12,15000,180000,5,9000.0,171000.0,11462,137544,33456.0,565,Delivered,Debit Card,5,1,Low
100078,2026-11-01,2026-11-04,Office Desk,Furniture,Global Supply,Delhi WH,Ahmedabad,Gujarat,Wholesale,8,15000,120000,0,0.0,120000.0,8647,69176,50824.0,600,Delivered,UPI,3,4,Medium
100079,2026-03-09,2026-03-10,Printer,Office Supplies,Tech World,Hyderabad WH,Ahmedabad,Gujarat,Retail,20,15000,300000,10,30000.0,270000.0,9892,197840,72160.0,388,Delayed,Cash,1,3,Medium
100080,2026-07-08,2026-07-10,Hard Disk,Storage,Prime Distributors,Hyderabad WH,Delhi,Delhi,Retail,13,4200,54600,15,8190.0,46410.0,2425,31525,14885.0,2814,Delivered,Cash,2,5,Low
100081,2026-07-25,2026-07-27,Mouse,Accessories,Prime Distributors,Bangalore WH,Lucknow,Uttar Pradesh,Wholesale,2,700,1400,0,0.0,1400.0,467,934,466.0,1383,In Transit,UPI,2,3,High
100082,2026-04-02,2026-04-05,Hard Disk,Storage,Tech World,Hyderabad WH,Ahmedabad,Gujarat,Wholesale,9,4200,37800,0,0.0,37800.0,2607,23463,14337.0,1860,Delivered,Net Banking,3,4,Low
100083,2026-12-27,2027-01-03,Office Chair,Furniture,XYZ Traders,Hyderabad WH,Kolkata,West Bengal,Retail,8,8500,68000,0,0.0,68000.0,6406,51248,16752.0,2499,In Transit,Cash,7,5,High
100084,2026-06-18,2026-06-19,Mouse,Accessories,Prime Distributors,Hyderabad WH,Kolkata,West Bengal,Retail,18,700,12600,5,630.0,11970.0,432,7776,4194.0,2553,Delivered,Debit Card,1,3,Medium
100085,2026-04-20,2026-04-27,Hard Disk,Storage,XYZ Traders,Delhi WH,Pune,Maharashtra,Retail,11,4200,46200,15,6930.0,39270.0,2822,31042,8228.0,304,Delivered,UPI,7,1,Medium
100086,2026-10-15,2026-10-21,Laptop,Electronics,ABC Suppliers,Bangalore WH,Chennai,Tamil Nadu,Retail,2,55000,110000,5,5500.0,104500.0,42067,84134,20366.0,1253,In Transit,Credit Card,6,4,Medium
100087,2026-04-13,2026-04-20,Projector,Electronics,Tech World,Bangalore WH,Mumbai,Maharashtra,Retail,6,40000,240000,5,12000.0,228000.0,28904,173424,54576.0,2973,Delivered,Debit Card,7,3,Low
100088,2026-03-07,2026-03-12,SSD,Storage,ABC Suppliers,Hyderabad WH,Kolkata,West Bengal,Wholesale,13,5500,71500,10,7150.0,64350.0,4269,55497,8853.0,2914,Delivered,Debit Card,5,5,Low
100089,2026-11-20,2026-11-23,Office Chair,Furniture,Prime Distributors,Hyderabad WH,Delhi,Delhi,Retail,11,8500,93500,0,0.0,93500.0,6645,73095,20405.0,2389,Delivered,UPI,3,5,Medium
100090,2026-12-20,2026-12-26,Webcam,Accessories,Prime Distributors,Chennai WH,Mumbai,Maharashtra,Retail,19,2500,47500,15,7125.0,40375.0,1858,35302,5073.0,2125,Delivered,Debit Card,6,4,High
100091,2026-10-13,2026-10-20,Monitor,Electronics,Tech World,Hyderabad WH,Lucknow,Uttar Pradesh,Retail,11,12000,132000,5,6600.0,125400.0,6723,73953,51447.0,2186,Delivered,Credit Card,7,3,Medium
100092,2026-01-14,2026-01-15,Projector,Electronics,Global Supply,Chennai WH,Chennai,Tamil Nadu,Retail,5,40000,200000,5,10000.0,190000.0,26594,132970,57030.0,2572,Delivered,UPI,1,3,Low
100093,2026-03-30,2026-04-02,Keyboard,Accessories,XYZ Traders,Chennai WH,Mumbai,Maharashtra,Retail,18,900,16200,10,1620.0,14580.0,610,10980,3600.0,2530,Delayed,Cash,3,3,Low
100094,2026-06-28,2026-06-30,Keyboard,Accessories,ABC Suppliers,Mumbai WH,Hyderabad,Telangana,Wholesale,19,900,17100,15,2565.0,14535.0,669,12711,1824.0,1105,Delivered,UPI,2,4,Medium
100095,2026-04-03,2026-04-05,Desktop,Electronics,Prime Distributors,Delhi WH,Bangalore,Karnataka,Wholesale,18,45000,810000,5,40500.0,769500.0,34459,620262,149238.0,1453,Delivered,Debit Card,2,2,High
100096,2026-03-21,2026-03-23,SSD,Storage,Tech World,Hyderabad WH,Lucknow,Uttar Pradesh,Wholesale,5,5500,27500,0,0.0,27500.0,3783,18915,8585.0,2339,Delayed,Debit Card,2,4,High
100097,2026-11-17,2026-11-22,SSD,Storage,XYZ Traders,Delhi WH,Lucknow,Uttar Pradesh,Retail,16,5500,88000,0,0.0,88000.0,4252,68032,19968.0,1811,Delivered,UPI,5,4,Low
100098,2026-01-30,2026-02-01,Monitor,Electronics,XYZ Traders,Chennai WH,Jaipur,Rajasthan,Retail,17,12000,204000,10,20400.0,183600.0,9302,158134,25466.0,1764,Delivered,Debit Card,2,3,Medium
100099,2026-04-21,2026-04-26,Hard Disk,Storage,Prime Distributors,Chennai WH,Ahmedabad,Gujarat,Retail,2,4200,8400,15,1260.0,7140.0,3027,6054,1086.0,1892,Delivered,UPI,5,5,Medium
100100,2026-05-08,2026-05-12,Projector,Electronics,Global Supply,Mumbai WH,Lucknow,Uttar Pradesh,Wholesale,2,40000,80000,0,0.0,80000.0,30993,61986,18014.0,1818,Delivered,Credit Card,4,3,Low
100101,2026-11-21,2026-11-25,Printer,Office Supplies,Tech World,Delhi WH,Delhi,Delhi,Wholesale,5,15000,75000,5,3750.0,71250.0,8404,42020,29230.0,2289,Delivered,Net Banking,4,4,Medium
100102,2026-11-13,2026-11-20,Office Chair,Furniture,XYZ Traders,Delhi WH,Ahmedabad,Gujarat,Retail,14,8500,119000,0,0.0,119000.0,6658,93212,25788.0,2294,Delivered,Credit Card,7,4,High
100103,2026-04-07,2026-04-13,Switch,Networking,Tech World,Delhi WH,Hyderabad,Telangana,Retail,3,6000,18000,10,1800.0,16200.0,3947,11841,4359.0,413,Delivered,UPI,6,1,Medium
100104,2026-09-10,2026-09-12,Laptop,Electronics,ABC Suppliers,Mumbai WH,Hyderabad,Telangana,Retail,6,55000,330000,15,49500.0,280500.0,37903,227418,53082.0,1626,Delivered,Debit Card,2,5,Low
100105,2026-10-09,2026-10-16,Switch,Networking,Global Supply,Delhi WH,Lucknow,Uttar Pradesh,Wholesale,4,6000,24000,0,0.0,24000.0,4374,17496,6504.0,901,Delivered,Net Banking,7,4,Low
100106,2026-05-08,2026-05-10,Office Desk,Furniture,Global Supply,Bangalore WH,Lucknow,Uttar Pradesh,Retail,17,15000,255000,15,38250.0,216750.0,9104,154768,61982.0,2613,Delayed,Net Banking,2,2,Medium
100107,2026-02-18,2026-02-23,Hard Disk,Storage,Global Supply,Mumbai WH,Kolkata,West Bengal,Retail,8,4200,33600,5,1680.0,31920.0,2540,20320,11600.0,2830,Delivered,Debit Card,5,4,Medium
100108,2026-11-17,2026-11-19,Scanner,Office Supplies,Tech World,Chennai WH,Jaipur,Rajasthan,Retail,19,12000,228000,0,0.0,228000.0,7765,147535,80465.0,2075,Cancelled,Credit Card,2,5,High
100109,2026-08-22,2026-08-28,Laptop,Electronics,ABC Suppliers,Bangalore WH,Bangalore,Karnataka,Wholesale,9,55000,495000,10,49500.0,445500.0,38680,348120,97380.0,767,Delivered,Debit Card,6,5,Low
100110,2026-10-16,2026-10-21,Laptop,Electronics,Tech World,Hyderabad WH,Jaipur,Rajasthan,Wholesale,15,55000,825000,10,82500.0,742500.0,33578,503670,238830.0,236,Delayed,UPI,5,4,High
100111,2026-08-09,2026-08-15,Keyboard,Accessories,ABC Suppliers,Chennai WH,Delhi,Delhi,Wholesale,11,900,9900,0,0.0,9900.0,560,6160,3740.0,2584,Delivered,Net Banking,6,2,High
100112,2026-03-27,2026-03-28,Monitor,Electronics,ABC Suppliers,Chennai WH,Mumbai,Maharashtra,Retail,5,12000,60000,10,6000.0,54000.0,7339,36695,17305.0,2504,Delivered,Debit Card,1,2,High
100113,2026-04-06,2026-04-11,Projector,Electronics,ABC Suppliers,Hyderabad WH,Chennai,Tamil Nadu,Retail,18,40000,720000,15,108000.0,612000.0,26518,477324,134676.0,1220,Delivered,Cash,5,1,High
100114,2026-12-23,2026-12-28,SSD,Storage,XYZ Traders,Mumbai WH,Delhi,Delhi,Wholesale,3,5500,16500,15,2475.0,14025.0,3924,11772,2253.0,1314,Delivered,UPI,5,2,Medium
100115,2026-04-10,2026-04-13,Webcam,Accessories,Tech World,Hyderabad WH,Ahmedabad,Gujarat,Wholesale,7,2500,17500,0,0.0,17500.0,1934,13538,3962.0,2797,Delayed,Net Banking,3,5,Low
100116,2026-06-15,2026-06-16,SSD,Storage,ABC Suppliers,Mumbai WH,Pune,Maharashtra,Wholesale,18,5500,99000,10,9900.0,89100.0,3895,70110,18990.0,2538,Delivered,Credit Card,1,5,Medium
100117,2026-10-22,2026-10-27,Webcam,Accessories,Prime Distributors,Delhi WH,Jaipur,Rajasthan,Wholesale,12,2500,30000,5,1500.0,28500.0,1901,22812,5688.0,709,Delivered,UPI,5,4,Medium
100118,2026-03-16,2026-03-22,Mouse,Accessories,Global Supply,Hyderabad WH,Ahmedabad,Gujarat,Wholesale,5,700,3500,15,525.0,2975.0,504,2520,455.0,376,Delivered,Net Banking,6,4,High
100119,2026-09-19,2026-09-22,Monitor,Electronics,Tech World,Delhi WH,Lucknow,Uttar Pradesh,Retail,4,12000,48000,5,2400.0,45600.0,9530,38120,7480.0,2723,In Transit,Cash,3,3,Medium
100120,2026-11-18,2026-11-20,Scanner,Office Supplies,Tech World,Hyderabad WH,Delhi,Delhi,Retail,7,12000,84000,5,4200.0,79800.0,8683,60781,19019.0,943,Delivered,Credit Card,2,4,High
100121,2026-01-22,2026-01-29,Router,Networking,Global Supply,Bangalore WH,Ahmedabad,Gujarat,Retail,10,3500,35000,10,3500.0,31500.0,2699,26990,4510.0,2510,Delivered,Credit Card,7,5,Medium
100122,2026-06-24,2026-06-26,Office Chair,Furniture,Global Supply,Bangalore WH,Bangalore,Karnataka,Retail,5,8500,42500,15,6375.0,36125.0,6364,31820,4305.0,2667,Delivered,Net Banking,2,3,Low
100123,2026-10-30,2026-11-01,Hard Disk,Storage,Tech World,Mumbai WH,Bangalore,Karnataka,Wholesale,2,4200,8400,15,1260.0,7140.0,2964,5928,1212.0,2182,Delayed,Cash,2,2,Medium
100124,2026-07-20,2026-07-21,Desktop,Electronics,ABC Suppliers,Mumbai WH,Delhi,Delhi,Retail,8,45000,360000,10,36000.0,324000.0,27502,220016,103984.0,1208,In Transit,Credit Card,1,3,High
