item_id,order_id,product_id,quantity,unit_price,discount_percent,gross_amount,discount_amount,net_amount,shipping_cost
ITEM000084,ORD00027,PROD032,5,8609.15,10,43045.75,4304.58,38741.18,100.14
ITEM000085,ORD00027,PROD018,2,26285.35,5,52570.7,2628.54,49942.16,136.72
ITEM000086,ORD00028,PROD027,2,10063.72,0,20127.44,0.0,20127.44,327.97
ITEM000087,ORD00028,PROD039,1,34243.23,15,34243.23,5136.48,29106.75,109.03
ITEM000088,ORD00029,PROD001,4,18789.55,5,75158.2,3757.91,71400.29,39.31
ITEM000089,ORD00030,PROD017,4,15281.69,15,61126.76,9169.01,51957.75,95.28
ITEM000090,ORD00030,PROD012,5,48498.5,15,242492.5,36373.88,206118.62,200.84
ITEM000091,ORD00031,PROD048,3,26051.39,15,78154.17,11723.13,66431.04,445.54
ITEM000092,ORD00031,PROD041,1,6189.71,10,6189.71,618.97,5570.74,173.39
ITEM000093,ORD00031,PROD019,5,21654.06,10,108270.3,10827.03,97443.27,453.61
ITEM000094,ORD00031,PROD002,4,47540.64,10,190162.56,19016.26,171146.3,53.36
ITEM000095,ORD00032,PROD035,3,48285.04,10,144855.12,14485.51,130369.61,471.68
ITEM000096,ORD00032,PROD032,2,8609.15,10,17218.3,1721.83,15496.47,185.24
ITEM000097,ORD00032,PROD014,1,10695.72,10,10695.72,1069.57,9626.15,208.98
ITEM000098,ORD00032,PROD024,4,18381.46,20,73525.84,14705.17,58820.67,488.34
ITEM000099,ORD00033,PROD023,3,14678.02,20,44034.06,8806.81,35227.25,123.2
ITEM000100,ORD00033,PROD033,3,3346.07,20,10038.21,2007.64,8030.57,378.46
ITEM000101,ORD00033,PROD013,2,41638.89,10,83277.78,8327.78,74950.0,337.81
ITEM000102,ORD00033,PROD043,4,1815.99,5,7263.96,363.2,6900.76,431.7
ITEM000103,ORD00034,PROD014,5,10695.72,10,53478.6,5347.86,48130.74,142.96
ITEM000104,ORD00034,PROD028,1,25760.3,15,25760.3,3864.04,21896.25,252.2
ITEM000105,ORD00034,PROD026,5,39280.28,15,196401.4,29460.21,166941.19,32.15
ITEM000106,ORD00034,PROD020,5,14632.33,20,73161.65,14632.33,58529.32,166.64
ITEM000107,ORD00035,PROD050,4,9324.24,20,37296.96,7459.39,29837.57,293.6
ITEM000108,ORD00035,PROD042,3,24809.33,10,74427.99,7442.8,66985.19,144.61
ITEM000109,ORD00036,PROD039,1,34243.23,10,34243.23,3424.32,30818.91,41.18
ITEM000110,ORD00036,PROD045,3,13013.12,10,39039.36,3903.94,35135.42,405.86
ITEM000111,ORD00036,PROD022,3,7060.74,0,21182.22,0.0,21182.22,310.06
ITEM000112,ORD00036,PROD035,5,48285.04,10,241425.2,24142.52,217282.68,218.42
ITEM000113,ORD00037,PROD047,1,15654.38,15,15654.38,2348.16,13306.22,122.62
ITEM000114,ORD00037,PROD001,2,18789.55,20,37579.1,7515.82,30063.28,386.49
ITEM000115,ORD00038,PROD003,4,36626.5,5,146506.0,7325.3,139180.7,426.93
ITEM000116,ORD00038,PROD045,5,13013.12,10,65065.6,6506.56,58559.04,156.73
ITEM000117,ORD00038,PROD030,3,2417.88,0,7253.64,0.0,7253.64,143.59
ITEM000118,ORD00038,PROD029,1,29661.49,0,29661.49,0.0,29661.49,228.2
ITEM000119,ORD00038,PROD015,3,9173.07,20,27519.21,5503.84,22015.37,496.62
ITEM000120,ORD00039,PROD023,1,14678.02,5,14678.02,733.9,13944.12,353.89
ITEM000121,ORD00040,PROD020,3,14632.33,0,43896.99,0.0,43896.99,339.23
ITEM000122,ORD00041,PROD007,1,2998.37,5,2998.37,149.92,2848.45,457.16
ITEM000123,ORD00041,PROD020,5,14632.33,10,73161.65,7316.16,65845.48,392.74
ITEM000124,ORD00041,PROD014,2,10695.72,5,21391.44,1069.57,20321.87,382.78
ITEM000125,ORD00041,PROD022,5,7060.74,10,35303.7,3530.37,31773.33,118.4
ITEM000126,ORD00041,PROD015,1,9173.07,0,9173.07,0.0,9173.07,96.85
ITEM000127,ORD00042,PROD037,2,15300.23,15,30600.46,4590.07,26010.39,198.25
ITEM000128,ORD00042,PROD002,4,47540.64,10,190162.56,19016.26,171146.3,100.02
ITEM000129,ORD00042,PROD018,4,26285.35,15,105141.4,15771.21,89370.19,455.87
ITEM000130,ORD00043,PROD008,5,43322.19,10,216610.95,21661.1,194949.86,263.08
ITEM000131,ORD00043,PROD045,5,13013.12,5,65065.6,3253.28,61812.32,290.38
ITEM000132,ORD00043,PROD004,3,29973.06,10,89919.18,8991.92,80927.26,167.5
ITEM000133,ORD00044,PROD017,4,15281.69,0,61126.76,0.0,61126.76,405.15
ITEM000134,ORD00045,PROD038,2,4973.84,10,9947.68,994.77,8952.91,74.07
ITEM000135,ORD00046,PROD043,2,1815.99,15,3631.98,544.8,3087.18,358.31
ITEM000136,ORD00046,PROD020,4,14632.33,5,58529.32,2926.47,55602.85,252.74
ITEM000137,ORD00046,PROD023,5,14678.02,0,73390.1,0.0,73390.1,225.39
ITEM000138,ORD00046,PROD021,2,30631.46,5,61262.92,3063.15,58199.77,237.86
ITEM000139,ORD00047,PROD007,3,2998.37,15,8995.11,1349.27,7645.84,206.04
ITEM000140,ORD00047,PROD009,4,30095.64,5,120382.56,6019.13,114363.43,387.69
ITEM000141,ORD00047,PROD006,3,7884.13,0,23652.39,0.0,23652.39,111.69
ITEM000142,ORD00047,PROD043,4,1815.99,0,7263.96,0.0,7263.96,271.44
ITEM000143,ORD00048,PROD008,2,43322.19,0,86644.38,0.0,86644.38,306.9
ITEM000144,ORD00048,PROD033,1,3346.07,15,3346.07,501.91,2844.16,298.38
ITEM000145,ORD00048,PROD042,1,24809.33,20,24809.33,4961.87,19847.46,421.16
ITEM000146,ORD00048,PROD029,2,29661.49,0,59322.98,0.0,59322.98,401.35
ITEM000147,ORD00048,PROD026,2,39280.28,20,78560.56,15712.11,62848.45,310.93
ITEM000148,ORD00049,PROD028,4,25760.3,0,103041.2,0.0,103041.2,176.06
ITEM000149,ORD00050,PROD046,3,33159.86,20,99479.58,19895.92,79583.66,416.11
ITEM000150,ORD00051,PROD010,4,35432.82,15,141731.28,21259.69,120471.59,136.96
ITEM000151,ORD00051,PROD009,1,30095.64,5,30095.64,1504.78,28590.86,477.57
ITEM000152,ORD00051,PROD044,2,45475.09,10,90950.18,9095.02,81855.16,397.37
ITEM000153,ORD00051,PROD046,5,33159.86,20,165799.3,33159.86,132639.44,279.38
ITEM000154,ORD00051,PROD047,1,15654.38,10,15654.38,1565.44,14088.94,265.98
ITEM000155,ORD00052,PROD043,3,1815.99,5,5447.97,272.4,5175.57,56.88
ITEM000156,ORD00053,PROD039,3,34243.23,10,102729.69,10272.97,92456.72,51.71
ITEM000157,ORD00053,PROD016,2,9251.89,20,18503.78,3700.76,14803.02,112.58
ITEM000158,ORD00053,PROD026,2,39280.28,0,78560.56,0.0,78560.56,145.77
ITEM000159,ORD00054,PROD031,3,30416.49,15,91249.47,13687.42,77562.05,207.94
ITEM000160,ORD00054,PROD024,2,18381.46,20,36762.92,7352.58,29410.34,316.53
ITEM000161,ORD00055,PROD046,3,33159.86,10,99479.58,9947.96,89531.62,307.52
ITEM000162,ORD00056,PROD041,1,6189.71,20,6189.71,1237.94,4951.77,429.89
ITEM000163,ORD00056,PROD017,2,15281.69,10,30563.38,3056.34,27507.04,146.9
ITEM000164,ORD00056,PROD013,5,41638.89,10,208194.45,20819.44,187375.0,135.76
ITEM000165,ORD00057,PROD003,2,36626.5,20,73253.0,14650.6,58602.4,257.39
ITEM000166,ORD00058,PROD044,1,45475.09,10,45475.09,4547.51,40927.58,37.43
ITEM000167,ORD00059,PROD044,1,45475.09,15,45475.09,6821.26,38653.83,314.33
ITEM000168,ORD00059,PROD038,4,4973.84,10,19895.36,1989.54,17905.82,410.18
ITEM000169,ORD00060,PROD014,4,10695.72,5,42782.88,2139.14,40643.74,352.09
ITEM000170,ORD00060,PROD011,1,1127.17,0,1127.17,0.0,1127.17,373.64
ITEM000171,ORD00060,PROD033,4,3346.07,5,13384.28,669.21,12715.07,415.45
ITEM000172,ORD00060,PROD008,2,43322.19,5,86644.38,4332.22,82312.16,76.04
ITEM000173,ORD00061,PROD016,4,9251.89,5,37007.56,1850.38,35157.18,349.32
ITEM000174,ORD00061,PROD026,4,39280.28,15,157121.12,23568.17,133552.95,83.54
ITEM000175,ORD00061,PROD037,1,15300.23,10,15300.23,1530.02,13770.21,94.35
ITEM000176,ORD00061,PROD005,5,7885.33,15,39426.65,5914.0,33512.65,259.04
ITEM000177,ORD00061,PROD021,4,30631.46,10,122525.84,12252.58,110273.26,192.74
ITEM000178,ORD00062,PROD048,2,26051.39,0,52102.78,0.0,52102.78,149.52
ITEM000179,ORD00062,PROD040,3,22063.61,0,66190.83,0.0,66190.83,34.87
ITEM000180,ORD00062,PROD047,2,15654.38,0,31308.76,0.0,31308.76,91.54
ITEM000181,ORD00062,PROD006,4,7884.13,20,31536.52,6307.3,25229.22,144.7
ITEM000182,ORD00062,PROD024,4,18381.46,20,73525.84,14705.17,58820.67,318.07
ITEM000183,ORD00063,PROD048,3,26051.39,0,78154.17,0.0,78154.17,109.95
ITEM000184,ORD00063,PROD020,3,14632.33,20,43896.99,8779.4,35117.59,217.89
ITEM000185,ORD00064,PROD004,1,29973.06,10,29973.06,2997.31,26975.75,34.0
ITEM000186,ORD00064,PROD016,2,9251.89,10,18503.78,1850.38,16653.4,221.8
ITEM000187,ORD00064,PROD042,4,24809.33,10,99237.32,9923.73,89313.59,169.87
ITEM000188,ORD00064,PROD050,1,9324.24,20,9324.24,1864.85,7459.39,364.16
ITEM000189,ORD00065,PROD016,5,9251.89,20,46259.45,9251.89,37007.56,75.24
ITEM000190,ORD00065,PROD028,1,25760.3,5,25760.3,1288.02,24472.28,420.15
ITEM000191,ORD00066,PROD029,1,29661.49,0,29661.49,0.0,29661.49,439.53
ITEM000192,ORD00066,PROD012,3,48498.5,0,145495.5,0.0,145495.5,144.53
ITEM000193,ORD00067,PROD025,5,22857.89,10,114289.45,11428.94,102860.5,105.05
ITEM000194,ORD00067,PROD004,1,29973.06,0,29973.06,0.0,29973.06,140.46
ITEM000195,ORD00067,PROD007,5,2998.37,5,14991.85,749.59,14242.26,199.98
ITEM000196,ORD00068,PROD012,5,48498.5,5,242492.5,12124.62,230367.88,352.02
ITEM000197,ORD00068,PROD003,1,36626.5,15,36626.5,5493.98,31132.52,275.8
ITEM000198,ORD00069,PROD015,5,9173.07,20,45865.35,9173.07,36692.28,348.07
ITEM000199,ORD00069,PROD027,1,10063.72,15,10063.72,1509.56,8554.16,495.47
ITEM000200,ORD00069,PROD001,4,18789.55,20,75158.2,15031.64,60126.56,35.94
ITEM000201,ORD00069,PROD016,5,9251.89,20,46259.45,9251.89,37007.56,362.02
ITEM000202,ORD00070,PROD028,1,25760.3,0,25760.3,0.0,25760.3,196.19
ITEM000203,ORD00070,PROD031,1,30416.49,10,30416.49,3041.65,27374.84,358.41
ITEM000204,ORD00070,PROD012,1,48498.5,0,48498.5,0.0,48498.5,484.27
ITEM000205,ORD00070,PROD003,1,36626.5,15,36626.5,5493.98,31132.52,83.65
ITEM000206,ORD00071,PROD018,3,26285.35,0,78856.05,0.0,78856.05,403.39
ITEM000207,ORD00071,PROD036,5,40439.03,20,202195.15,40439.03,161756.12,180.7
ITEM000208,ORD00072,PROD014,1,10695.72,20,10695.72,2139.14,8556.58,204.52
ITEM000209,ORD00072,PROD030,1,2417.88,20,2417.88,483.58,1934.3,384.13
ITEM000210,ORD00073,PROD017,5,15281.69,15,76408.45,11461.27,64947.18,96.63
ITEM000211,ORD00073,PROD042,4,24809.33,10,99237.32,9923.73,89313.59,189.06
ITEM000212,ORD00073,PROD020,1,14632.33,20,14632.33,2926.47,11705.86,117.45
ITEM000213,ORD00073,PROD024,4,18381.46,15,73525.84,11028.88,62496.96,66.78
ITEM000214,ORD00073,PROD027,4,10063.72,15,40254.88,6038.23,34216.65,375.15
ITEM000215,ORD00074,PROD045,5,13013.12,20,65065.6,13013.12,52052.48,225.18
ITEM000216,ORD00075,PROD028,5,25760.3,10,128801.5,12880.15,115921.35,218.37
ITEM000217,ORD00075,PROD016,2,9251.89,15,18503.78,2775.57,15728.21,389.51
ITEM000218,ORD00076,PROD050,1,9324.24,10,9324.24,932.42,8391.82,200.82
ITEM000219,ORD00076,PROD029,2,29661.49,15,59322.98,8898.45,50424.53,76.27
ITEM000220,ORD00076,PROD035,5,48285.04,20,241425.2,48285.04,193140.16,254.58
ITEM000221,ORD00076,PROD015,3,9173.07,0,27519.21,0.0,27519.21,107.96
ITEM000222,ORD00077,PROD014,3,10695.72,15,32087.16,4813.07,27274.09,481.86
ITEM000223,ORD00077,PROD044,3,45475.09,10,136425.27,13642.53,122782.74,400.11
ITEM000224,ORD00078,PROD012,2,48498.5,0,96997.0,0.0,96997.0,169.52
ITEM000225,ORD00078,PROD032,1,8609.15,0,8609.15,0.0,8609.15,408.6
ITEM000226,ORD00078,PROD028,4,25760.3,0,103041.2,0.0,103041.2,351.57
ITEM000227,ORD00078,PROD014,2,10695.72,0,21391.44,0.0,21391.44,206.06
ITEM000228,ORD00079,PROD033,5,3346.07,15,16730.35,2509.55,14220.8,495.46
ITEM000229,ORD00079,PROD015,4,9173.07,5,36692.28,1834.61,34857.67,446.97
ITEM000230,ORD00079,PROD008,4,43322.19,10,173288.76,17328.88,155959.88,255.22
ITEM000231,ORD00080,PROD025,5,22857.89,15,114289.45,17143.42,97146.03,308.78
ITEM000232,ORD00080,PROD021,4,30631.46,0,122525.84,0.0,122525.84,131.73
ITEM000233,ORD00080,PROD035,5,48285.04,20,241425.2,48285.04,193140.16,396.32
ITEM000234,ORD00081,PROD001,3,18789.55,20,56368.65,11273.73,45094.92,133.35
ITEM000235,ORD00081,PROD002,5,47540.64,5,237703.2,11885.16,225818.04,218.74
ITEM000236,ORD00082,PROD045,3,13013.12,20,39039.36,7807.87,31231.49,488.5
ITEM000237,ORD00082,PROD006,2,7884.13,20,15768.26,3153.65,12614.61,83.4
ITEM000238,ORD00083,PROD031,4,30416.49,10,121665.96,12166.6,109499.36,311.21
ITEM000239,ORD00083,PROD004,3,29973.06,0,89919.18,0.0,89919.18,50.53
ITEM000240,ORD00084,PROD004,2,29973.06,20,59946.12,11989.22,47956.9,74.27
ITEM000241,ORD00084,PROD025,5,22857.89,15,114289.45,17143.42,97146.03,110.06
ITEM000242,ORD00084,PROD048,5,26051.39,5,130256.95,6512.85,123744.1,161.96
ITEM000243,ORD00085,PROD034,2,47449.39,0,94898.78,0.0,94898.78,71.13
ITEM000244,ORD00086,PROD029,5,29661.49,15,148307.45,22246.12,126061.33,336.44
ITEM000245,ORD00087,PROD022,5,7060.74,20,35303.7,7060.74,28242.96,338.4
ITEM000246,ORD00087,PROD044,5,45475.09,15,227375.45,34106.32,193269.13,450.36
ITEM000247,ORD00087,PROD029,5,29661.49,20,148307.45,29661.49,118645.96,240.93
ITEM000248,ORD00087,PROD034,5,47449.39,0,237246.95,0.0,237246.95,178.39
ITEM000249,ORD00088,PROD007,1,2998.37,0,2998.37,0.0,2998.37,161.2
ITEM000250,ORD00088,PROD032,4,8609.15,10,34436.6,3443.66,30992.94,494.29
ITEM000251,ORD00089,PROD034,5,47449.39,20,237246.95,47449.39,189797.56,281.23
ITEM000252,ORD00089,PROD048,1,26051.39,0,26051.39,0.0,26051.39,233.35
ITEM000253,ORD00089,PROD007,4,2998.37,5,11993.48,599.67,11393.81,326.97
ITEM000254,ORD00090,PROD027,4,10063.72,5,40254.88,2012.74,38242.14,419.67
ITEM000255,ORD00090,PROD016,2,9251.89,20,18503.78,3700.76,14803.02,246.67
ITEM000256,ORD00090,PROD007,3,2998.37,10,8995.11,899.51,8095.6,240.86
ITEM000257,ORD00091,PROD048,4,26051.39,0,104205.56,0.0,104205.56,226.72
ITEM000258,ORD00091,PROD049,3,27380.84,20,82142.52,16428.5,65714.02,222.94
ITEM000259,ORD00092,PROD036,5,40439.03,5,202195.15,10109.76,192085.39,277.01
ITEM000260,ORD00092,PROD033,5,3346.07,20,16730.35,3346.07,13384.28,446.92
ITEM000261,ORD00092,PROD005,1,7885.33,15,7885.33,1182.8,6702.53,279.29
ITEM000262,ORD00092,PROD006,2,7884.13,0,15768.26,0.0,15768.26,83.5
ITEM000263,ORD00093,PROD042,4,24809.33,0,99237.32,0.0,99237.32,230.23
ITEM000264,ORD00093,PROD001,4,18789.55,10,75158.2,7515.82,67642.38,118.61
ITEM000265,ORD00094,PROD008,2,43322.19,5,86644.38,4332.22,82312.16,228.15
ITEM000266,ORD00094,PROD025,1,22857.89,5,22857.89,1142.89,21715.0,66.13
ITEM000267,ORD00095,PROD034,1,47449.39,10,47449.39,4744.94,42704.45,353.95
ITEM000268,ORD00095,PROD022,1,7060.74,5,7060.74,353.04,6707.7,253.82
ITEM000269,ORD00095,PROD018,2,26285.35,20,52570.7,10514.14,42056.56,197.91
ITEM000270,ORD00095,PROD038,3,4973.84,10,14921.52,1492.15,13429.37,272.47
ITEM000271,ORD00095,PROD003,3,36626.5,20,109879.5,21975.9,87903.6,135.71
ITEM000272,ORD00096,PROD016,5,9251.89,0,46259.45,0.0,46259.45,101.98
ITEM000273,ORD00096,PROD044,3,45475.09,5,136425.27,6821.26,129604.01,313.77
ITEM000274,ORD00096,PROD039,2,34243.23,5,68486.46,3424.32,65062.14,458.06
ITEM000275,ORD00096,PROD038,3,4973.84,0,14921.52,0.0,14921.52,235.83
ITEM000276,ORD00097,PROD005,2,7885.33,10,15770.66,1577.07,14193.59,292.1
ITEM000277,ORD00097,PROD039,1,34243.23,10,34243.23,3424.32,30818.91,421.07
ITEM000278,ORD00097,PROD045,4,13013.12,5,52052.48,2602.62,49449.86,455.16
ITEM000279,ORD00098,PROD046,2,33159.86,5,66319.72,3315.99,63003.73,220.73
ITEM000280,ORD00099,PROD008,5,43322.19,15,216610.95,32491.64,184119.31,139.64
ITEM000281,ORD00100,PROD017,5,15281.69,10,76408.45,7640.84,68767.6,179.62
ITEM000282,ORD00100,PROD023,1,14678.02,10,14678.02,1467.8,13210.22,213.12
ITEM000283,ORD00100,PROD007,1,2998.37,20,2998.37,599.67,2398.7,143.91
ITEM000284,ORD00100,PROD014,4,10695.72,20,42782.88,8556.58,34226.3,217.97
ITEM000285,ORD00100,PROD047,3,15654.38,20,46963.14,9392.63,37570.51,51.69
ITEM000286,ORD00101,PROD028,5,25760.3,20,128801.5,25760.3,103041.2,248.46
ITEM000287,ORD00101,PROD045,3,13013.12,0,39039.36,0.0,39039.36,294.33
ITEM000288,ORD00101,PROD043,5,1815.99,20,9079.95,1815.99,7263.96,437.13
ITEM000289,ORD00101,PROD020,1,14632.33,15,14632.33,2194.85,12437.48,257.22
ITEM000290,ORD00101,PROD024,2,18381.46,10,36762.92,3676.29,33086.63,335.9
ITEM000291,ORD00102,PROD027,4,10063.72,20,40254.88,8050.98,32203.9,60.25
ITEM000292,ORD00103,PROD014,4,10695.72,5,42782.88,2139.14,40643.74,469.12
ITEM000293,ORD00103,PROD040,4,22063.61,0,88254.44,0.0,88254.44,254.76
ITEM000294,ORD00104,PROD008,2,43322.19,10,86644.38,8664.44,77979.94,488.07
ITEM000295,ORD00104,PROD031,2,30416.49,10,60832.98,6083.3,54749.68,92.32
ITEM000296,ORD00105,PROD042,3,24809.33,0,74427.99,0.0,74427.99,353.52
ITEM000297,ORD00105,PROD011,5,1127.17,5,5635.85,281.79,5354.06,411.06
ITEM000298,ORD00106,PROD027,2,10063.72,5,20127.44,1006.37,19121.07,374.75
ITEM000299,ORD00107,PROD021,5,30631.46,0,153157.3,0.0,153157.3,334.94
ITEM000300,ORD00107,PROD020,3,14632.33,10,43896.99,4389.7,39507.29,156.17
ITEM000301,ORD00107,PROD001,3,18789.55,20,56368.65,11273.73,45094.92,440.13
ITEM000302,ORD00107,PROD007,3,2998.37,5,8995.11,449.76,8545.35,344.62
ITEM000303,ORD00108,PROD011,3,1127.17,5,3381.51,169.08,3212.43,410.0
ITEM000304,ORD00109,PROD001,3,18789.55,15,56368.65,8455.3,47913.35,223.34
